Collectivite;Budget;Exercice;I_F;D_R;Nature;SousFonction;Exécuté;Libellé nature;Libellé fonction
VILLE;01;2009;F;D;6064;323;10514,22; FOURNITURES ADMINISTRATIVES;ARCHIVES
VILLE;01;2009;F;D;6231;822;10720,23; ANNONCES ET INSERTIONS;VOIRIE COMMUNALE ET ROUTES
VILLE;01;2011;F;R;758;824;4899,85; Produits divers de gestion cou;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
VILLE;01;2011;F;R;70688;020;382,87; AUTRES PRESTATIONS DE SERVICES;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;01;2012;F;D;6282;64;7933,15; FRAIS DE GARDIENNAGE;CRECHES ET GARDERIES
VILLE;01;2006;F;D;6262;30;6958,46; FRAIS DE TELECOMMUNICATIONS;SERVICES COMMUNS
VILLE;01;2008;F;R;7788;251;2172,71; PRODUITS EXCEPTIONNELS DIVERS;HEBERGEMENT ET RESTAURATION SCOLAIRE
VILLE;01;2010;F;D;60612;822;4307,72; ENERGIE ET ELECTRICITE;VOIRIE COMMUNALE ET ROUTES
VILLE;01;2005;F;D;60628;822;21928,70; AUTRES FOURNITURES NON STOCKEES;VOIRIE COMMUNALE ET ROUTES
VILLE;01;2011;I;D;2033;213;10350,50; FRAIS D'INSERTION;CLASSES REGROUPEES
VILLE;01;2011;F;R;70323;30;2880,00; REDEVANCE D'OCCUPATION DU DOMAINE PUBLIC COMMUNAL;SERVICES COMMUNS
VILLE;01;2008;F;D;6451;64;2270557,66; COTISATIONS A L'URSSAF;CRECHES ET GARDERIES
VILLE;01;2009;F;D;6226;422;2499,52; HONORAIRES;AUTRES ACTIVITES POUR LES JEUNES
VILLE;01;2012;I;D;2135;020;1424026,57; INSTALLATIONS GENERALES, AGENCEMENTS, AMENAGTS DES CONSTRUCTIONS;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;01;2007;F;R;758;816;8571,05; Produits divers de gestion cou;AUTRES RESEAUX ET SERVICES DIVERS
VILLE;01;2009;F;D;61558;212;3857,71; ENTRETIEN ET REPARATIONS AUTRES BIENS MOBILIERS;ECOLES PRIMAIRES
VILLE;01;2005;I;R;21318;;9470918,12; AUTRES BATIMENTS PUBLICS;
VILLE;01;2006;F;D;6574;314;92620,00; SUBVENTIONS DE FONCTIONNEMENT AUX ASSOCIATIONS ET AUTRES ORGANISMES;CINEMAS ET AUTRES SALLES DE SPECTACLES
VILLE;01;2007;I;D;2313;40;106128,83; IMMOBILISATIONS EN COURS CONSTRUCTION;SERVICES COMMUNS
VILLE;01;2011;F;D;6135;30;262378,20; LOCATIONS MOBILIERES;SERVICES COMMUNS
VILLE;01;2008;I;D;2161;324;57771,13; OEUVRES ET OBJETS D'ART;ENTRETIEN DU PATRIMOINE CULTUREL
VILLE;01;2008;I;D;2188;520;30296,25; AUTRES IMMOBILISATIONS CORPORELLES AUTRES;SERVICES COMMUNS
VILLE;01;2011;F;D;6453;112;1047036,28; COTISATIONS AUX CAISSES DE RETRAITES;POLICE MUNICIPALE
VILLE;01;2007;F;D;6488;421;14492,00; AUTRES CHARGES;CENTRES DE LOISIRS
VILLE;01;2009;I;R;1325;414;113000,00; SUBVENTIONS D'EQUIPEMENT NON TRANSFERABLES GROUPEMENTS DE COLLECTIVITES;AUTRES EQUIPEMENTS SPORTIFS OU DE LOISIR
VILLE;01;2009;F;D;6064;520;440,66; FOURNITURES ADMINISTRATIVES;SERVICES COMMUNS
VILLE;01;2009;F;D;6236;520;83181,41; CATALOGUES ET IMPRIMES;SERVICES COMMUNS
VILLE;01;2006;F;D;61523;823;1477876,93; ENTRETIEN ET REPARATIONS VOIES ET RESEAUX;ESPACES VERTS URBAINS
VILLE;01;2007;F;D;6331;024;13749,00; VERSEMENT DE TRANSPORT;FETES ET CEREMONIES
VILLE;01;2012;F;D;64118;211;1229309,04; AUTRES INDEMNITES PERSONNEL TITULAIRE;ECOLES MATERNELLES
VILLE;01;2006;F;D;60636;422;1668,05; VETEMENTS DE TRAVAIL;AUTRES ACTIVITES POUR LES JEUNES
VILLE;01;2010;F;D;60631;823;19266,24; FOURNITURES D'ENTRETIEN;ESPACES VERTS URBAINS
VILLE;01;2009;I;D;2313;822;2847695,75; IMMOBILISATIONS EN COURS CONSTRUCTION;VOIRIE COMMUNALE ET ROUTES
VILLE;01;2010;F;R;7718;824;512,33; AUTRES PRODUITS EXCEPTIONNELS SUR OPERATIONS DE GESTION;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
VILLE;01;2009;F;D;64731;822;8563,87; ALLOC CHOM;VOIRIE COMMUNALE ET ROUTES
VILLE;01;2012;F;R;7718;816;5722,64; AUTRES PRODUITS EXCEPTIONNELS SUR OPERATIONS DE GESTION;AUTRES RESEAUX ET SERVICES DIVERS
VILLE;01;2008;F;D;64111;816;328302,60; REMUNERATION PRINCIPALE PERSONNEL TITULAIRE;AUTRES RESEAUX ET SERVICES DIVERS
VILLE;01;2008;F;R;7088;023;95,40; AUTRES PRODUITS D ACTIVITES ANNEXES;INFORMATION, COMMUNICATION, PUBLICITE
VILLE;01;2009;F;D;6236;323;6765,62; CATALOGUES ET IMPRIMES;ARCHIVES
VILLE;01;2011;F;D;6233;824;21434,71; FOIRES ET EXPOSITIONS;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
VILLE;01;2012;F;D;60628;211;20371,71; AUTRES FOURNITURES NON STOCKEES;ECOLES MATERNELLES
VILLE;01;2010;I;R;1321;211;130839,33; SUBVENTIONS D' EQUIP NON TRANSFERABLES  ETAT & ETABLISSEMENT NATIONAUX;ECOLES MATERNELLES
VILLE;01;2010;F;D;611;020;312886,96; CONTRATS DE PRESTATIONS DE SERVICES AVEC DES ENTREPRISES;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;01;2011;F;D;6488;40;10721,50; AUTRES CHARGES;SERVICES COMMUNS
VILLE;01;2007;F;D;6488;820;75222,00; AUTRES CHARGES;SERVICES COMMUNS
VILLE;01;2009;F;D;6453;421;26613,90; COTISATIONS AUX CAISSES DE RETRAITES;CENTRES DE LOISIRS
VILLE;01;2009;F;R;758;91;65688,94; Produits divers de gestion cou;FOIRES ET MARCHES
VILLE;01;2010;F;D;60632;411;42714,54; FOURNITURES DE PETIT EQUIPEMENT;SALLES DE SPORT, GYMNASES
VILLE;01;2011;F;D;64112;112;211062,86; NBI, SUPPLEMENT FAMILIAL DE TRAITEMENT ET INDEMNITE DE RESIDENCE;POLICE MUNICIPALE
VILLE;01;2007;F;D;64111;823;4487694,63; REMUNERATION PRINCIPALE PERSONNEL TITULAIRE;ESPACES VERTS URBAINS
VILLE;01;2008;F;D;6331;64;195436,30; VERSEMENT DE TRANSPORT;CRECHES ET GARDERIES
VILLE;01;2012;F;D;6282;025;2834,97; FRAIS DE GARDIENNAGE;AIDES AUX ASSOCIATIONS (NON CLASSEES AILLEURS)
VILLE;01;2010;F;D;60636;91;419,89; VETEMENTS DE TRAVAIL;FOIRES ET MARCHES
VILLE;01;2010;F;D;6135;520;58110,28; LOCATIONS MOBILIERES;SERVICES COMMUNS
VILLE;01;2007;F;D;60632;212;122729,22; FOURNITURES DE PETIT EQUIPEMENT;ECOLES PRIMAIRES
VILLE;01;2008;I;R;1323;824;89660,00; SUBV EQUIP NON TRANSF DEPARTE;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
VILLE;01;2012;F;R;758;212;303326,77; Produits divers de gestion cou;ECOLES PRIMAIRES
VILLE;01;2009;F;D;6188;415;21641,62; AUTRES FRAIS DIVERS;MANIFESTATIONS SPORTIVES
VILLE;01;2010;F;D;64111;421;133010,48; REMUNERATION PRINCIPALE PERSONNEL TITULAIRE;CENTRES DE LOISIRS
VILLE;01;2006;F;D;60632;821;171330,92; FOURNITURES DE PETIT EQUIPEMENT;EQUIPEMENTS DE VOIRIE
VILLE;01;2007;F;D;64111;251;1296527,73; REMUNERATION PRINCIPALE PERSONNEL TITULAIRE;HEBERGEMENT ET RESTAURATION SCOLAIRE
VILLE;01;2007;F;D;6064;816;4107,36; FOURNITURES ADMINISTRATIVES;AUTRES RESEAUX ET SERVICES DIVERS
VILLE;01;2009;F;R;7088;820;2542,73; AUTRES PRODUITS D ACTIVITES ANNEXES;SERVICES COMMUNS
VILLE;01;2009;I;D;2033;30;4925,85; FRAIS D'INSERTION;SERVICES COMMUNS
VILLE;01;2010;F;D;6156;814;363,71; MAINTENANCE;ECLAIRAGE PUBLIC
VILLE;01;2011;I;D;2135;422;502423,32; INSTALLATIONS GENERALES, AGENCEMENTS, AMENAGTS DES CONSTRUCTIONS;AUTRES ACTIVITES POUR LES JEUNES
VILLE;01;2008;F;D;61522;12;4983,40; ENTRETIEN ET REPARATIONS BATIMENTS;HYGIENE ET SALUBRITE PUBLIQUE
VILLE;01;2009;F;R;70878;020;108826,91; REMBOURSEMENT DE FRAIS PAR D'AUTRES REDEVABLES;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;01;2008;F;D;6488;91;33675,00; AUTRES CHARGES;FOIRES ET MARCHES
VILLE;01;2009;F;D;6233;91;429830,70; FOIRES ET EXPOSITIONS;FOIRES ET MARCHES
VILLE;01;2005;F;D;60636;40;9567,29; VETEMENTS DE TRAVAIL;SERVICES COMMUNS
VILLE;01;2006;F;D;64831;212;1015,14; INDEMNITES AUX AGENTS;ECOLES PRIMAIRES
VILLE;01;2005;F;D;65738;824;154368,00; SUBVENTIONS DE FONCTIONNEMENT AUX AUTRES ORGANISMES;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
VILLE;01;2008;F;D;6453;211;1339869,50; COTISATIONS AUX CAISSES DE RETRAITES;ECOLES MATERNELLES
VILLE;01;2011;I;D;21568;30;743,60; AUTRE MATERIEL ET OUTILLAGE D'INCENDIE ET DE DEFENSE CIVILE;SERVICES COMMUNS
VILLE;01;2006;F;D;64112;422;45373,36; NBI, SUPPLEMENT FAMILIAL DE TRAITEMENT ET INDEMNITE DE RESIDENCE;AUTRES ACTIVITES POUR LES JEUNES
VILLE;01;2008;F;D;6238;832;2129,62; DIVERS;ACTIONS SPECIFIQUES DE LUTTE CONTRE LA POLLUTION
VILLE;01;2010;F;D;6453;421;41332,56; COTISATIONS AUX CAISSES DE RETRAITES;CENTRES DE LOISIRS
VILLE;01;2011;F;R;70321;91;60720,00; DROITS DE STATIONNEMENT ET DE LOCATION SUR LA VOIE PUBLIQUE;FOIRES ET MARCHES
VILLE;01;2005;F;D;61558;40;1702,82; ENTRETIEN ET REPARATIONS AUTRES BIENS MOBILIERS;SERVICES COMMUNS
VILLE;01;2009;F;D;6156;026;2569,63; MAINTENANCE;CIMETIERES ET POMPES FUNEBRES
VILLE;01;2012;F;R;70878;020;365223,67; REMBOURSEMENT DE FRAIS PAR D'AUTRES REDEVABLES;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;01;2010;F;D;6233;91;254436,04; FOIRES ET EXPOSITIONS;FOIRES ET MARCHES
VILLE;01;2005;F;D;6288;020;664,48; AUTRES;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;01;2006;F;D;61522;023;113188,40; ENTRETIEN ET REPARATIONS BATIMENTS;INFORMATION, COMMUNICATION, PUBLICITE
VILLE;01;2008;F;D;657362;520;12100000,00; SUBV FONCT CCAS;SERVICES COMMUNS
VILLE;01;2009;F;R;761;;84200,26; PRODUITS DE PARTICIPATIONS;
VILLE;01;2012;F;D;60623;421;44537,83; ALIMENTATION;CENTRES DE LOISIRS
VILLE;01;2012;F;D;6247;823;684,80; TRANSPORT COLLECTIF;ESPACES VERTS URBAINS
VILLE;01;2010;F;D;6188;40;29790,16; AUTRES FRAIS DIVERS;SERVICES COMMUNS
VILLE;01;2012;F;D;6065;323;535,06; LIVRES DISQUES CASSETTES;ARCHIVES
VILLE;01;2005;F;D;61522;64;125087,14; ENTRETIEN ET REPARATIONS BATIMENTS;CRECHES ET GARDERIES
VILLE;01;2006;F;D;6262;64;11914,64; FRAIS DE TELECOMMUNICATIONS;CRECHES ET GARDERIES
VILLE;01;2010;F;D;64112;91;24131,48; NBI, SUPPLEMENT FAMILIAL DE TRAITEMENT ET INDEMNITE DE RESIDENCE;FOIRES ET MARCHES
VILLE;01;2011;F;D;678;520;1646,92; AUTRES CHARGES EXCEPTIONNELLES;SERVICES COMMUNS
VILLE;01;2010;F;R;7718;415;10306,30; AUTRES PRODUITS EXCEPTIONNELS SUR OPERATIONS DE GESTION;MANIFESTATIONS SPORTIVES
VILLE;01;2011;F;R;7788;020;1304381,06; PRODUITS EXCEPTIONNELS DIVERS;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;01;2012;F;D;6282;30;91510,97; FRAIS DE GARDIENNAGE;SERVICES COMMUNS
VILLE;01;2006;F;D;6488;023;26562,70; AUTRES CHARGES;INFORMATION, COMMUNICATION, PUBLICITE
VILLE;01;2009;F;D;637;024;773,04; AUTRES IMPOTS TAXES ET VERSTS ASSIMILES (AUTRES ORGANISMES);FETES ET CEREMONIES
VILLE;01;2011;F;D;6231;820;10402,18; ANNONCES ET INSERTIONS;SERVICES COMMUNS
VILLE;01;2007;F;D;61522;251;1995,16; ENTRETIEN ET REPARATIONS BATIMENTS;HEBERGEMENT ET RESTAURATION SCOLAIRE
VILLE;01;2010;I;R;1321;324;188259,48; SUBVENTIONS D' EQUIP NON TRANSFERABLES  ETAT & ETABLISSEMENT NATIONAUX;ENTRETIEN DU PATRIMOINE CULTUREL
VILLE;01;2011;I;R;1323;411;130246,12; SUBV EQUIP NON TRANSF DEPARTE;SALLES DE SPORT, GYMNASES
VILLE;01;2008;F;D;637;020;29789,26; AUTRES IMPOTS TAXES ET VERSTS ASSIMILES (AUTRES ORGANISMES);ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;01;2005;I;R;10222;;7833676,25; F.C.T.V.A.;
VILLE;01;2005;F;D;64112;64;239,88; NBI, SUPPLEMENT FAMILIAL DE TRAITEMENT ET INDEMNITE DE RESIDENCE;CRECHES ET GARDERIES
VILLE;01;2007;F;D;6064;91;4340,22; FOURNITURES ADMINISTRATIVES;FOIRES ET MARCHES
VILLE;01;2009;I;R;1321;324;221930,28; SUBVENTIONS D' EQUIP NON TRANSFERABLES  ETAT & ETABLISSEMENT NATIONAUX;ENTRETIEN DU PATRIMOINE CULTUREL
VILLE;01;2012;F;R;752;520;23130,19; REVENUS DES IMMEUBLES;SERVICES COMMUNS
VILLE;01;2008;F;D;6331;30;9649,27; VERSEMENT DE TRANSPORT;SERVICES COMMUNS
VILLE;01;2009;F;D;6188;112;2265,22; AUTRES FRAIS DIVERS;POLICE MUNICIPALE
VILLE;01;2012;F;D;6135;024;12175,62; LOCATIONS MOBILIERES;FETES ET CEREMONIES
VILLE;01;2007;F;R;74123;;8078877,00; DOTATION DE SOLIDARITE URBAINE;
VILLE;01;2010;F;D;6247;415;19174,10; TRANSPORT COLLECTIF;MANIFESTATIONS SPORTIVES
VILLE;01;2010;F;D;60636;816;9,71; VETEMENTS DE TRAVAIL;AUTRES RESEAUX ET SERVICES DIVERS
VILLE;01;2011;F;D;6488;823;350486,50; AUTRES CHARGES;ESPACES VERTS URBAINS
VILLE;01;2012;F;D;617;251;72318,91; ETUDES ET RECHERCHES;HEBERGEMENT ET RESTAURATION SCOLAIRE
VILLE;01;2006;I;D;2128;026;11136,42; AUTRES AGENCEMENTS ET AMENAGEMENTS;CIMETIERES ET POMPES FUNEBRES
VILLE;01;2009;F;D;64118;023;160236,08; AUTRES INDEMNITES PERSONNEL TITULAIRE;INFORMATION, COMMUNICATION, PUBLICITE
VILLE;01;2011;I;R;13258;824;123040,10; SUBVENTION D'EQUIPEMENT NON TRANSFERABLES AUTRES GROUPEMENTS DE COLLECTIVITES;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
VILLE;01;2012;F;D;64112;823;173168,80; NBI, SUPPLEMENT FAMILIAL DE TRAITEMENT ET INDEMNITE DE RESIDENCE;ESPACES VERTS URBAINS
VILLE;01;2006;I;R;2111;;8349226,19; TERRAINS NUS;
VILLE;01;2008;F;D;627;823;9980,71; SERVICES BANCAIRES ET ASSIMILES;ESPACES VERTS URBAINS
VILLE;01;2007;I;D;2313;048;21879,86; IMMOBILISATIONS EN COURS CONSTRUCTION;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
VILLE;01;2008;F;D;61522;91;40938,82; ENTRETIEN ET REPARATIONS BATIMENTS;FOIRES ET MARCHES
VILLE;01;2010;F;R;758;820;43900,11; Produits divers de gestion cou;SERVICES COMMUNS
VILLE;01;2010;I;D;205;023;4191,58; CONCESSIONS ET DROITS SIMILAIRES BREVETS LICENCES MARQUES PROCEDES DROITS ET VAL;INFORMATION, COMMUNICATION, PUBLICITE
VILLE;01;2006;F;D;61521;422;3145,48; ENTRETIEN ET REPARATIONS SUR TERRAINS;AUTRES ACTIVITES POUR LES JEUNES
VILLE;01;2007;F;D;6236;323;3014,52; CATALOGUES ET IMPRIMES;ARCHIVES
VILLE;01;2006;F;D;6231;90;2700,57; ANNONCES ET INSERTIONS;INTERVENTIONS ECONOMIQUES
VILLE;01;2008;F;R;7718;213;1940,44; AUTRES PRODUITS EXCEPTIONNELS SUR OPERATIONS DE GESTION;CLASSES REGROUPEES
VILLE;01;2012;F;R;74123;;11349731,00; DOTATION DE SOLIDARITE URBAINE;
VILLE;01;2012;I;D;2031;822;142899,65; FRAIS D'ETUDES;VOIRIE COMMUNALE ET ROUTES
VILLE;01;2006;F;R;7718;421;4139,39; AUTRES PRODUITS EXCEPTIONNELS SUR OPERATIONS DE GESTION;CENTRES DE LOISIRS
VILLE;01;2010;F;D;64112;820;28300,29; NBI, SUPPLEMENT FAMILIAL DE TRAITEMENT ET INDEMNITE DE RESIDENCE;SERVICES COMMUNS
VILLE;01;2012;F;D;60632;323;488,97; FOURNITURES DE PETIT EQUIPEMENT;ARCHIVES
VILLE;01;2005;F;D;65718;824;1177400,00; SUBVENTIONS D'EQUIPEMENT AUX AUTRES ORGANISMES DIVERS;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
VILLE;01;2007;I;R;16441;;16900000,00; EMPRUNT ASSORTI TIRAGE SUR LIGNE DE TRESORERIE;
VILLE;01;2008;F;R;70631;40;11895,00; redevances et droits a caracte;SERVICES COMMUNS
VILLE;01;2008;I;R;1328;824;2574033,20; SUBV D EQUIPEMENT AUTRES;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
VILLE;01;2009;F;D;6135;023;19753,73; LOCATIONS MOBILIERES;INFORMATION, COMMUNICATION, PUBLICITE
VILLE;01;2012;I;D;2121;823;80228,61; PLANTATIONS D'ARBRES ET D'ARBUSTES;ESPACES VERTS URBAINS
VILLE;01;2009;F;R;758;212;227808,04; Produits divers de gestion cou;ECOLES PRIMAIRES
VILLE;01;2010;I;D;2183;64;1071,69; AUTRES IMMOBILISATIONS CORPORELLES MATERIEL DE BUREAU ET INFORMATIQUE;CRECHES ET GARDERIES
VILLE;01;2009;F;D;64731;022;4383,09; ALLOC CHOM;ADMINISTRATION GENERALE DE L'ETAT
VILLE;01;2010;F;D;61558;212;2414,74; ENTRETIEN ET REPARATIONS AUTRES BIENS MOBILIERS;ECOLES PRIMAIRES
VILLE;01;2006;I;D;2168;323;11732,18; COLLECTIONS - OEUVRES D'ART AUTRES;ARCHIVES
VILLE;01;2006;I;D;2183;64;779,26; AUTRES IMMOBILISATIONS CORPORELLES MATERIEL DE BUREAU ET INFORMATIQUE;CRECHES ET GARDERIES
VILLE;01;2007;F;D;60631;251;78543,03; FOURNITURES D'ENTRETIEN;HEBERGEMENT ET RESTAURATION SCOLAIRE
VILLE;01;2006;F;D;64131;048;69386,53; REMUNERATION;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
VILLE;01;2006;F;D;6244;30;2639,30; TRANSPORTS ADMINISTRATIFS;SERVICES COMMUNS
VILLE;01;2006;I;D;274;823;600000,00; AUTRES IMMOBILISATIONS FINANCIERES PRETS;ESPACES VERTS URBAINS
VILLE;01;2007;I;D;2188;212;27066,31; AUTRES IMMOBILISATIONS CORPORELLES AUTRES;ECOLES PRIMAIRES
VILLE;01;2010;F;D;60628;30;10050,75; AUTRES FOURNITURES NON STOCKEES;SERVICES COMMUNS
VILLE;01;2005;F;D;6331;421;2729,82; VERSEMENT DE TRANSPORT;CENTRES DE LOISIRS
VILLE;01;2008;F;D;6233;832;32292,49; FOIRES ET EXPOSITIONS;ACTIONS SPECIFIQUES DE LUTTE CONTRE LA POLLUTION
VILLE;01;2008;F;D;6574;524;9600,00; SUBVENTIONS DE FONCTIONNEMENT AUX ASSOCIATIONS ET AUTRES ORGANISMES;AUTRES SERVICES
VILLE;01;2009;F;D;61523;30;44205,20; ENTRETIEN ET REPARATIONS VOIES ET RESEAUX;SERVICES COMMUNS
VILLE;01;2011;F;D;6453;411;267050,98; COTISATIONS AUX CAISSES DE RETRAITES;SALLES DE SPORT, GYMNASES
VILLE;01;2007;F;D;6532;048;17463,30; FRAIS DE MISSIONS MAIRES ADJOINTS CONSEILLERS;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
VILLE;01;2007;F;D;60633;822;28815,39; FOURNITURES DE VOIRIE;VOIRIE COMMUNALE ET ROUTES
VILLE;01;2008;F;D;60628;048;4333,58; AUTRES FOURNITURES NON STOCKEES;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
VILLE;01;2008;F;R;7078;020;1344485,41; AUTRES MARCHANDISES;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;01;2011;F;D;6261;022;297,55; FRAIS D'AFFRANCHISSEMENT;ADMINISTRATION GENERALE DE L'ETAT
VILLE;01;2005;F;R;70323;91;850497,00; REDEVANCE D'OCCUPATION DU DOMAINE PUBLIC COMMUNAL;FOIRES ET MARCHES
VILLE;01;2007;F;R;60222;020;14462,68; PRODUITS D'ENTRETIEN;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;01;2006;F;D;6236;422;12884,03; CATALOGUES ET IMPRIMES;AUTRES ACTIVITES POUR LES JEUNES
VILLE;01;2011;I;R;16878;;47777,82; AUTRES ORGANISMES ET PARTICULIERS;
VILLE;01;2007;F;R;74834;;1825624,00; ATTRIBUTION ETAT COMPENSATION AU TITRE DES EXONERATIONS DES TAXES FONCIERES;
VILLE;01;2007;F;R;775;020;18192,87; PRODUITS DES CESSIONS D'IMMOBILISATIONS;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;01;2008;F;D;60222;020;85488,22; PRODUITS D'ENTRETIEN;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;01;2008;F;D;61522;824;3075,41; ENTRETIEN ET REPARATIONS BATIMENTS;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
VILLE;01;2010;F;D;61551;251;6676,41; ENTRETIEN ET REPARATIONS MATERIEL ROULANT;HEBERGEMENT ET RESTAURATION SCOLAIRE
VILLE;01;2010;F;D;61521;412;111437,03; ENTRETIEN ET REPARATIONS SUR TERRAINS;STADES
VILLE;01;2010;F;D;637;024;1729,00; AUTRES IMPOTS TAXES ET VERSTS ASSIMILES (AUTRES ORGANISMES);FETES ET CEREMONIES
VILLE;01;2008;F;R;758;312;4257,28; Produits divers de gestion cou;ARTS PLASTIQUES ET AUTRES ACTIVITES ARTISTIQUES
VILLE;01;2005;F;D;61522;020;392578,57; ENTRETIEN ET REPARATIONS BATIMENTS;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;01;2007;F;D;6231;022;1003,52; ANNONCES ET INSERTIONS;ADMINISTRATION GENERALE DE L'ETAT
VILLE;01;2010;F;D;61522;048;10831,98; ENTRETIEN ET REPARATIONS BATIMENTS;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
VILLE;01;2012;F;R;758;023;29707,59; Produits divers de gestion cou;INFORMATION, COMMUNICATION, PUBLICITE
VILLE;01;2007;F;D;6236;415;10740,75; CATALOGUES ET IMPRIMES;MANIFESTATIONS SPORTIVES
VILLE;01;2007;F;D;6231;048;2750,32; ANNONCES ET INSERTIONS;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
