Espèce,Numéro nomenclatural,Nom retenu,Numéro nomenclatural nom retenu,Numéro taxonomique,Famille,Referentiel taxonomique,Commune,Identifiant Commune,Date,Lieu-dit,Station,Milieu,Notes,Latitude,Longitude,Altitude,Référentiel Géographique,Lumière,Température,Continentalité,Humidité Atmosphérique,Humidité,Réaction (pH),Nutriments,Salinité,Texture,Matière Organique,Code Catminat,Syntaxon,ext:personneStructure,ext:personneService,ext:personneFonction,ext:adresse,ext:latitudeDebutRue,ext:longitudeDebutRue,ext:latitudeFinRue,ext:longitudeFinRue,ext:typoUrbaine,ext:revetementSol,ext:presenceZoneVegetalise,ext:hauteurBatimentAvoisinant,ext:intensiteGestion,ext:periodiciteTraitementPhyto,ext:itineraireGestion,ext:dateDerniereIntervention,ext:hauteurPlante,ext:resistanceTraitementPhyto,ext:vitesseCroissance,ext:perceptionTechnicien,ext:perceptionRiverainMauvaise,ext:coteRue,ext:apparence
Fumaria capreolata L.,75465,Fumaria capreolata L.,75465,30457,Papaveraceae,bdtfx,Montpellier,34,2008/03/09,Quartier St Clément,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symphytum orientale L.,66629,Symphytum orientale L.,66629,1460,Boraginaceae,bdtfx,Montpellier,34,2008/03/14,Jardin des plantes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ornithogalum umbellatum L.,46526,Ornithogalum umbellatum L.,46526,13117,Asparagaceae,bdtfx,Montpellier,34,2008/03/24,Quartier St Clément,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scrophularia peregrina L.,62024,Scrophularia peregrina L.,62024,5465,Scrophulariaceae,bdtfx,Montpellier,34,2008/04/11,Centre Ville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arundo donax L.,7099,Arundo donax L.,7099,6639,Poaceae,bdtfx,Montpellier,34,2008/05/20,Le Lez,DDA9,,Audrey BENAVENT et Julien BARATAUD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bromus madritensis L.,10881,Anisantha madritensis (L.) Nevski,4967,6708,Poaceae,bdtfx,Montpellier,34,2008/05/20,Le Lez,DDA9,,Audrey BENAVENT et Julien BARATAUD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fumaria capreolata L.,75465,Fumaria capreolata L.,75465,30457,Papaveraceae,bdtfx,Montpellier,34,2008/05/20,Le Lez,DDA9,,Audrey BENAVENT et Julien BARATAUD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hordeum murinum L.,34857,Hordeum murinum L.,34857,6955,Poaceae,bdtfx,Montpellier,34,2008/05/20,Le Lez,DDA9,,Audrey BENAVENT et Julien BARATAUD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malva sylvestris L.,40893,Malva sylvestris L.,40893,3831,Malvaceae,bdtfx,Montpellier,34,2008/05/20,Le Lez,DDA9,,Audrey BENAVENT et Julien BARATAUD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papaver rhoeas L.,75277,Papaver rhoeas L.,75277,30269,Papaveraceae,bdtfx,Montpellier,34,2008/05/20,Le Lez,DDA9,,Audrey BENAVENT et Julien BARATAUD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phalaris arundinacea L.,48632,Phalaris arundinacea L.,48632,7043,Poaceae,bdtfx,Montpellier,34,2008/05/20,Le Lez,DDA9,,Audrey BENAVENT et Julien BARATAUD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urtica dioica L.,70396,Urtica dioica L.,70396,14875,Urticaceae,bdtfx,Montpellier,34,2008/05/20,Le Lez,DDA9,,Audrey BENAVENT et Julien BARATAUD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alliaria petiolata (M.Bieb.) Cavara & Grande,2913,Alliaria petiolata (M.Bieb.) Cavara & Grande,2913,1468,Brassicaceae,bdtfx,Montpellier,34,2008/05/21,Le Rieucoulon,DDA9,,Audrey BENAVENT et Julien BARATAUD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artemisia annua L.,6765,Artemisia annua L.,6765,430,Asteraceae,bdtfx,Montpellier,34,2008/06/26,Le Rieucoulon,DDA9,,Thibaut SUISSE,,,,,9,6,7,3,5,7,6,0,3,0,13/4.0.3.0.1,"Chenopodion muralis Braun-Blanquet in Braun-Blanquet, Gajewski, Wraber & Walas 1936",,,,,,,,,,,,,,,,,,,,,,,
Arum italicum Mill.,7024,Arum italicum Mill.,7024,8677,Araceae,bdtfx,Montpellier,34,2008/06/26,Le Rieucoulon,DDA9,,Thibaut SUISSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asparagus acutifolius L.,7214,Asparagus acutifolius L.,7214,6269,Asparagaceae,bdtfx,Montpellier,34,2008/06/26,Le Rieucoulon,DDA9,,Thibaut SUISSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avena fatua L.,75451,Avena fatua L.,75451,6645,Poaceae,bdtfx,Montpellier,34,2008/06/26,Le Rieucoulon,DDA9,,Thibaut SUISSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballota nigra L.,9097,Ballota nigra L.,9097,3523,Lamiaceae,bdtfx,Montpellier,34,2008/06/26,Le Rieucoulon,DDA9,,Thibaut SUISSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellis perennis L.,9408,Bellis perennis L.,9408,493,Asteraceae,bdtfx,Montpellier,34,2008/06/26,Le Rieucoulon,DDA9,,Thibaut SUISSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bromus madritensis L.,10881,Anisantha madritensis (L.) Nevski,4967,6708,Poaceae,bdtfx,Montpellier,34,2008/06/26,Le Rieucoulon,DDA9,,Thibaut SUISSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bromus sterilis L.,11176,Anisantha sterilis (L.) Nevski,4972,6720,Poaceae,bdtfx,Montpellier,34,2008/05/21,Le Rieucoulon,DDA9,,Audrey BENAVENT et Julien BARATAUD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardamine hirsuta L.,12878,Cardamine hirsuta L.,12878,1592,Brassicaceae,bdtfx,Montpellier,34,2008/06/26,Le Rieucoulon,DDA9,,Thibaut SUISSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carduus pycnocephalus L.,75026,Carduus pycnocephalus L.,75026,30018,Asteraceae,bdtfx,Montpellier,34,2008/06/26,Le Rieucoulon,DDA9,,Thibaut SUISSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex cuprina (Sandor ex Heuff.) Nendtv. ex A.Kern.,13609,Carex cuprina (Sandor ex Heuff.) Nendtv. ex A.Kern.,13609,5877,Cyperaceae,bdtfx,Montpellier,34,2008/06/26,Le Rieucoulon,DDA9,,Thibaut SUISSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chelidonium majus L.,16703,Chelidonium majus L.,16703,4026,Papaveraceae,bdtfx,Montpellier,34,2008/06/26,Le Rieucoulon,DDA9,,Thibaut SUISSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clematis vitalba L.,18235,Clematis vitalba L.,18235,4436,Ranunculaceae,bdtfx,Montpellier,34,2008/06/26,Le Rieucoulon,DDA9,,Thibaut SUISSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornus sanguinea L.,75064,Cornus sanguinea L.,75064,30056,Cornaceae,bdtfx,Montpellier,34,2008/06/26,Le Rieucoulon,DDA9,,Thibaut SUISSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crepis sancta subsp. nemausensis (Vill.) Babc.,19756,Crepis sancta subsp. nemausensis (Vill.) Babc.,19756,734,Asteraceae,bdtfx,Montpellier,34,2008/06/26,Le Rieucoulon,DDA9,,Thibaut SUISSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diplotaxis erucoides (L.) DC.,75095,Diplotaxis erucoides (L.) DC.,75095,30087,Brassicaceae,bdtfx,Montpellier,34,2008/06/26,Le Rieucoulon,DDA9,,Thibaut SUISSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erodium malacoides (L.) L'Hér.,75116,Erodium malacoides (L.) L'Hér.,75116,30108,Geraniaceae,bdtfx,Montpellier,34,2008/06/26,Le Rieucoulon,DDA9,,Thibaut SUISSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphorbia helioscopia L.,25914,Euphorbia helioscopia L.,25914,2710,Euphorbiaceae,bdtfx,Montpellier,34,2008/06/26,Le Rieucoulon,DDA9,,Thibaut SUISSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphorbia peplus L.,25996,Euphorbia peplus L.,25996,7570,Euphorbiaceae,bdtfx,Montpellier,34,2008/06/26,Le Rieucoulon,DDA9,,Thibaut SUISSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ficus carica L.,75134,Ficus carica L.,75134,30126,Moraceae,bdtfx,Montpellier,34,2008/06/26,Le Rieucoulon,DDA9,,Thibaut SUISSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fumaria capreolata L.,75465,Fumaria capreolata L.,75465,30457,Papaveraceae,bdtfx,Montpellier,34,2008/06/26,Le Rieucoulon,DDA9,,Thibaut SUISSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galium aparine L.,28896,Galium aparine L.,28896,5037,Rubiaceae,bdtfx,Montpellier,34,2008/06/26,Le Rieucoulon,DDA9,,Thibaut SUISSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geranium molle L.,75468,Geranium molle L.,75468,30460,Geraniaceae,bdtfx,Montpellier,34,2008/06/26,Le Rieucoulon,DDA9,,Thibaut SUISSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedera helix L.,30892,Hedera helix L.,30892,329,Araliaceae,bdtfx,Montpellier,34,2008/06/26,Le Rieucoulon,DDA9,,Thibaut SUISSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hordeum murinum L.,34857,Hordeum murinum L.,34857,6955,Poaceae,bdtfx,Montpellier,34,2008/06/26,Le Rieucoulon,DDA9,,Thibaut SUISSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iris foetidissima L.,35917,Iris foetidissima L.,35917,6097,Iridaceae,bdtfx,Montpellier,34,2008/06/26,Le Rieucoulon,DDA9,,Thibaut SUISSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamium purpureum L.,37538,Lamium purpureum L.,37538,3568,Lamiaceae,bdtfx,Montpellier,34,2008/06/26,Le Rieucoulon,DDA9,,Thibaut SUISSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lapsana communis L.,37660,Lapsana communis L.,37660,997,Asteraceae,bdtfx,Montpellier,34,2008/06/26,Le Rieucoulon,DDA9,,Thibaut SUISSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurus nobilis L.,38070,Laurus nobilis L.,38070,3750,Lauraceae,bdtfx,Montpellier,34,2008/06/26,Le Rieucoulon,DDA9,,Thibaut SUISSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malva sylvestris L.,40893,Malva sylvestris L.,40893,3831,Malvaceae,bdtfx,Montpellier,34,2008/05/21,Le Rieucoulon,DDA9,,Audrey BENAVENT et Julien BARATAUD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicago minima (L.) L.,41349,Medicago minima (L.) L.,41349,3032,Fabaceae,bdtfx,Montpellier,34,2008/06/26,Le Rieucoulon,DDA9,,Thibaut SUISSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melittis melissophyllum L.,75243,Melittis melissophyllum L.,75243,30235,Lamiaceae,bdtfx,Montpellier,34,2008/06/26,Le Rieucoulon,DDA9,,Thibaut SUISSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercurialis annua L.,42320,Mercurialis annua L.,42320,2751,Euphorbiaceae,bdtfx,Montpellier,34,2008/06/26,Le Rieucoulon,DDA9,,Thibaut SUISSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigella damascena L.,44101,Nigella damascena L.,44101,4465,Ranunculaceae,bdtfx,Montpellier,34,2008/06/26,Le Rieucoulon,DDA9,,Thibaut SUISSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ornithogalum umbellatum L.,46526,Ornithogalum umbellatum L.,46526,13117,Asparagaceae,bdtfx,Montpellier,34,2008/06/26,Le Rieucoulon,DDA9,,Thibaut SUISSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osyris alba L.,47074,Osyris alba L.,47074,5184,Santalaceae,bdtfx,Montpellier,34,2008/06/26,Le Rieucoulon,DDA9,,Thibaut SUISSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phillyrea angustifolia L.,48852,Phillyrea angustifolia L.,48852,3958,Oleaceae,bdtfx,Montpellier,34,2008/06/26,Le Rieucoulon,DDA9,,Thibaut SUISSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pistacia lentiscus L.,49751,Pistacia lentiscus L.,49751,55,Anacardiaceae,bdtfx,Montpellier,34,2008/06/26,Le Rieucoulon,DDA9,,Thibaut SUISSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantago lanceolata L.,49948,Plantago lanceolata L.,49948,4094,Plantaginaceae,bdtfx,Montpellier,34,2008/05/21,Le Rieucoulon,DDA9,,Audrey BENAVENT et Julien BARATAUD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polygonum persicaria L.,51630,Persicaria maculosa Gray,48340,4236,Polygonaceae,bdtfx,Montpellier,34,2008/06/26,Le Rieucoulon,DDA9,,Thibaut SUISSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranunculus acris L.,54682,Ranunculus acris L.,54682,4490,Ranunculaceae,bdtfx,Montpellier,34,2008/06/26,Le Rieucoulon,DDA9,,Thibaut SUISSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranunculus ficaria L.,54960,Ficaria verna Huds.,27842,4516,Ranunculaceae,bdtfx,Montpellier,34,2008/06/26,Le Rieucoulon,DDA9,,Thibaut SUISSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rubus cf. ulmifolius,,,0,0,,,Montpellier,34,2008/05/21,Le Rieucoulon,DDA9,,Audrey BENAVENT et Julien BARATAUD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rumex pulcher L.,58852,Rumex pulcher L.,58852,4280,Polygonaceae,bdtfx,Montpellier,34,2008/06/26,Le Rieucoulon,DDA9,,Thibaut SUISSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sambucus nigra L.,60241,Sambucus nigra L.,60241,1968,Adoxaceae,bdtfx,Montpellier,34,2008/06/26,Le Rieucoulon,DDA9,,Thibaut SUISSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanguisorba minor Scop.,60289,Poterium sanguisorba L.,53054,4976,Rosaceae,bdtfx,Montpellier,34,2008/06/26,Le Rieucoulon,DDA9,,Thibaut SUISSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scirpoides holoschoenus (L.) Soják,61535,Scirpoides holoschoenus (L.) Soják,61535,6047,Cyperaceae,bdtfx,Montpellier,34,2008/05/21,Le Rieucoulon,DDA9,,Audrey BENAVENT et Julien BARATAUD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senecio vulgaris L.,63096,Senecio vulgaris L.,63096,1203,Asteraceae,bdtfx,Montpellier,34,2008/06/26,Le Rieucoulon,DDA9,,Thibaut SUISSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silene latifolia Poir.,64191,Silene latifolia Poir.,64191,14524,Caryophyllaceae,bdtfx,Montpellier,34,2008/06/26,Le Rieucoulon,DDA9,,Thibaut SUISSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smyrnium olusatrum L.,64837,Smyrnium olusatrum L.,64837,301,Apiaceae,bdtfx,Montpellier,34,2008/06/26,Le Rieucoulon,DDA9,,Thibaut SUISSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syringa vulgaris L.,66663,Syringa vulgaris L.,66663,3962,Oleaceae,bdtfx,Montpellier,34,2008/06/26,Le Rieucoulon,DDA9,,Thibaut SUISSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tordylium maximum L.,68543,Tordylium maximum L.,68543,306,Apiaceae,bdtfx,Montpellier,34,2008/06/26,Le Rieucoulon,DDA9,,Thibaut SUISSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ulmus minor Mill.,70296,Ulmus minor Mill.,70296,14872,Ulmaceae,bdtfx,Montpellier,34,2008/06/26,Le Rieucoulon,DDA9,,Thibaut SUISSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urtica dioica L.,70396,Urtica dioica L.,70396,14875,Urticaceae,bdtfx,Montpellier,34,2008/06/26,Le Rieucoulon,DDA9,,Thibaut SUISSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veronica persica Poir.,71290,Veronica persica Poir.,71290,5522,Plantaginaceae,bdtfx,Montpellier,34,2008/05/21,Le Rieucoulon,DDA9,,Audrey BENAVENT et Julien BARATAUD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viburnum tinus L.,71463,Viburnum tinus L.,71463,1973,Adoxaceae,bdtfx,Montpellier,34,2008/06/26,Le Rieucoulon,DDA9,,Thibaut SUISSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vicia hybrida L.,71622,Vicia hybrida L.,71622,3243,Fabaceae,bdtfx,Montpellier,34,2008/06/26,Le Rieucoulon,DDA9,,Thibaut SUISSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vicia sativa L.,71760,Vicia sativa L.,71760,14908,Fabaceae,bdtfx,Montpellier,34,2008/06/26,Le Rieucoulon,DDA9,,Thibaut SUISSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vinca minor L.,71984,Vinca minor L.,71984,325,Apocynaceae,bdtfx,Montpellier,34,2008/06/26,Le Rieucoulon,DDA9,,Thibaut SUISSE,,,,,3,6,4,5,5,6,6,0,1,3,16/4.,,,,,,,,,,,,,,,,,,,,,,,,
Cotula australis (Sieber ex Spreng.) Hook.f.,19245,Cotula australis (Sieber ex Spreng.) Hook.f.,19245,9581,Asteraceae,bdtfx,Montpellier,34,2008/06/17,Antigone,,Bac à palmier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantago lanceolata L.,49948,Plantago lanceolata L.,49948,4094,Plantaginaceae,bdtfx,Montpellier,34,2008/05/20,Le Lez,DDA9,,Audrey BENAVENT et Julien BARATAUD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rumex pulcher L.,58852,Rumex pulcher L.,58852,4280,Polygonaceae,bdtfx,Montpellier,34,2008/05/20,Le Lez,DDA9,,Audrey BENAVENT et Julien BARATAUD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galium aparine L.,28896,Galium aparine L.,28896,5037,Rubiaceae,bdtfx,Montpellier,34,2008/05/20,Le Lez,DDA9,,Audrey BENAVENT et Julien BARATAUD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carduus pycnocephalus L.,75026,Carduus pycnocephalus L.,75026,30018,Asteraceae,bdtfx,Montpellier,34,2008/05/20,Le Lez,DDA9,,Audrey BENAVENT et Julien BARATAUD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smyrnium olusatrum L.,64837,Smyrnium olusatrum L.,64837,301,Apiaceae,bdtfx,Montpellier,34,2008/05/20,Le Lez,DDA9,,Audrey BENAVENT et Julien BARATAUD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humulus lupulus L.,34958,Humulus lupulus L.,34958,1947,Cannabaceae,bdtfx,Montpellier,34,2008/05/20,Le Lez,DDA9,,Audrey BENAVENT et Julien BARATAUD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ludwigia peploides (Kunth) P.H.Raven,40139,Ludwigia peploides (Kunth) P.H.Raven,40139,3910,Onagraceae,bdtfx,Montpellier,34,2008/05/20,Le Lez,DDA9,,Audrey BENAVENT et Julien BARATAUD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nasturtium officinale R.Br.,43852,Nasturtium officinale R.Br.,43852,1765,Brassicaceae,bdtfx,Montpellier,34,2008/05/20,Le Lez,DDA9,,Audrey BENAVENT et Julien BARATAUD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonchus oleraceus L.,65212,Sonchus asper subsp. asper ,65172,1228,Asteraceae,bdtfx,Montpellier,34,2008/05/20,Le Lez,DDA9,,Audrey BENAVENT et Julien BARATAUD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Convolvulus arvensis L.,75060,Convolvulus arvensis L.,75060,30052,Convolvulaceae,bdtfx,Montpellier,34,2008/05/20,Le Lez,DDA9,,Audrey BENAVENT et Julien BARATAUD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knautia arvensis (L.) Coult.,75201,Knautia arvensis (L.) Coult.,75201,30193,Caprifoliaceae,bdtfx,Montpellier,34,2008/05/20,Le Lez,DDA9,,Audrey BENAVENT et Julien BARATAUD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sambucus ebulus L.,60236,Sambucus ebulus L.,60236,1967,Adoxaceae,bdtfx,Montpellier,34,2008/05/20,Le Lez,DDA9,,Audrey BENAVENT et Julien BARATAUD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verbascum sinuatum L.,70972,Verbascum sinuatum L.,70972,5485,Scrophulariaceae,bdtfx,Montpellier,34,2008/05/20,Le Lez,DDA9,,Audrey BENAVENT et Julien BARATAUD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asparagus officinalis L.,7231,Asparagus officinalis L.,7231,8682,Asparagaceae,bdtfx,Montpellier,34,2008/05/20,Le Lez,DDA9,,Audrey BENAVENT et Julien BARATAUD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silene vulgaris (Moench) Garcke,64419,Silene vulgaris (Moench) Garcke,64419,14537,Caryophyllaceae,bdtfx,Montpellier,34,2008/05/20,Le Lez,DDA9,,Audrey BENAVENT et Julien BARATAUD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranunculus repens L.,55340,Ranunculus repens L.,55340,4561,Ranunculaceae,bdtfx,Montpellier,34,2008/05/20,Le Lez,DDA9,,Audrey BENAVENT et Julien BARATAUD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicago sativa L.,41470,Medicago sativa L.,41470,3041,Fabaceae,bdtfx,Montpellier,34,2008/05/20,Le Lez,DDA9,,Audrey BENAVENT et Julien BARATAUD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
