type,osm_id,osm_url,amenity,contact:phone,covered,layer,operator,payment:credit_cards,payment:debit_cards,payment:telephone_cards,phone,shelter
Téléphones publics,281265155,http://www.openstreetmap.org/browse/node/281265155,telephone,,,,,,,,,
Téléphones publics,248094832,http://www.openstreetmap.org/browse/node/248094832,telephone,,,,,,,,,
Téléphones publics,126667668,http://www.openstreetmap.org/browse/node/126667668,telephone,,,,,,,,,
Téléphones publics,126674137,http://www.openstreetmap.org/browse/node/126674137,telephone,,,,,,,,,
Téléphones publics,1404462937,http://www.openstreetmap.org/browse/node/1404462937,telephone,,,,,,,,,
Téléphones publics,76856395,http://www.openstreetmap.org/browse/node/76856395,telephone,,,,,,,,,
Téléphones publics,105440517,http://www.openstreetmap.org/browse/node/105440517,telephone,,,,,,,,,
Téléphones publics,248094269,http://www.openstreetmap.org/browse/node/248094269,telephone,,,,,,,,,
Téléphones publics,105440522,http://www.openstreetmap.org/browse/node/105440522,telephone,,,,,,,,,
Téléphones publics,267847352,http://www.openstreetmap.org/browse/node/267847352,telephone,+33 4 99 61 39 07,,,,,,,,
Téléphones publics,105440528,http://www.openstreetmap.org/browse/node/105440528,telephone,,,,,,,,,
Téléphones publics,1575650269,http://www.openstreetmap.org/browse/node/1575650269,telephone,,,,,,,,,
Téléphones publics,248094657,http://www.openstreetmap.org/browse/node/248094657,telephone,,,,,,,,,
Téléphones publics,1575490015,http://www.openstreetmap.org/browse/node/1575490015,telephone,,,,,,,,,
Téléphones publics,105440532,http://www.openstreetmap.org/browse/node/105440532,telephone,04 67 52 54 53,,,,,,,,
Téléphones publics,1676666241,http://www.openstreetmap.org/browse/node/1676666241,telephone,,yes,,,,,,,
Téléphones publics,1711206796,http://www.openstreetmap.org/browse/node/1711206796,telephone,,yes,,,,,,,
Téléphones publics,1711206797,http://www.openstreetmap.org/browse/node/1711206797,telephone,,yes,,,,,,,
Téléphones publics,1711206800,http://www.openstreetmap.org/browse/node/1711206800,telephone,,yes,,,,,,,
Téléphones publics,1712519289,http://www.openstreetmap.org/browse/node/1712519289,telephone,,yes,,,,,,,
Téléphones publics,1934896975,http://www.openstreetmap.org/browse/node/1934896975,telephone,,yes,,,,,,,
Téléphones publics,1934896978,http://www.openstreetmap.org/browse/node/1934896978,telephone,,yes,,,,,,,
Téléphones publics,1934896979,http://www.openstreetmap.org/browse/node/1934896979,telephone,,yes,,,,,,,
Téléphones publics,1934896980,http://www.openstreetmap.org/browse/node/1934896980,telephone,,yes,,,,,,,
Téléphones publics,1934896981,http://www.openstreetmap.org/browse/node/1934896981,telephone,,yes,,,,,,,
Téléphones publics,1934896989,http://www.openstreetmap.org/browse/node/1934896989,telephone,,,,,,,,,
Téléphones publics,1674321499,http://www.openstreetmap.org/browse/node/1674321499,telephone,,,,France Télécom,,,yes,,
Téléphones publics,2065658570,http://www.openstreetmap.org/browse/node/2065658570,telephone,,,,France Télécom,,,yes,,no
Téléphones publics,2047914405,http://www.openstreetmap.org/browse/node/2047914405,telephone,,,,France Télécom,,,yes,,no
Téléphones publics,2047914404,http://www.openstreetmap.org/browse/node/2047914404,telephone,04 67 52 07 35,yes,,,,,,,
Téléphones publics,1676666246,http://www.openstreetmap.org/browse/node/1676666246,telephone,,,,,,,,0467610768,
Téléphones publics,-2026447702,http://www.openstreetmap.org/browse/node/2268519594,telephone,,,,,,,,,
Téléphones publics,1721854900,http://www.openstreetmap.org/browse/node/1721854900,telephone,,,,,,,,,
Téléphones publics,1721854903,http://www.openstreetmap.org/browse/node/1721854903,telephone,,yes,,,,,,,
Téléphones publics,1711206814,http://www.openstreetmap.org/browse/node/1711206814,telephone,,yes,,,,,,,
Téléphones publics,1711206823,http://www.openstreetmap.org/browse/node/1711206823,telephone,,,,France Télécom,,,yes,,
Téléphones publics,2065628835,http://www.openstreetmap.org/browse/node/2065628835,telephone,,,,,,,,,
Téléphones publics,280973062,http://www.openstreetmap.org/browse/node/280973062,telephone,,booth,,France Télécom,,,yes,,
Téléphones publics,1989550118,http://www.openstreetmap.org/browse/node/1989550118,telephone,,,,,,,yes,,
Téléphones publics,-2026447335,http://www.openstreetmap.org/browse/node/2268519961,telephone,,,,,,,yes,,
Téléphones publics,-2026447343,http://www.openstreetmap.org/browse/node/2268519953,telephone,,,,,,,yes,,
Téléphones publics,-2026447320,http://www.openstreetmap.org/browse/node/2268519976,telephone,,,,,,,yes,,
Téléphones publics,2065602914,http://www.openstreetmap.org/browse/node/2065602914,telephone,,,,France Télécom,,,yes,,
Téléphones publics,500953872,http://www.openstreetmap.org/browse/node/500953872,telephone,,,,France Télécom,,,yes,,
Téléphones publics,2061278002,http://www.openstreetmap.org/browse/node/2061278002,telephone,,yes,,,,,yes,,
Téléphones publics,1692917853,http://www.openstreetmap.org/browse/node/1692917853,telephone,,,,,,,,,
Téléphones publics,292926213,http://www.openstreetmap.org/browse/node/292926213,telephone,,,,,,,,,
Téléphones publics,292926215,http://www.openstreetmap.org/browse/node/292926215,,,,,,,,,,
