Exercice;I_F;D_R;Nature;Fonction; BP ;Libellé fonction
2014;F;D;611;20; 664 090,00    ;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2014;F;D;611;25; 2 500,00    ;AIDES AUX ASSOCIATIONS (NON CLASSEES AILLEURS)
2014;F;D;611;26; 1 000,00    ;CIMETIERES ET POMPES FUNEBRES
2014;F;D;611;112; 122 629,00    ;POLICE MUNICIPALE
2014;F;D;611;12; 104 000,00    ;HYGIENE ET SALUBRITE PUBLIQUE
2014;F;D;611;212; -      ;ECOLES PRIMAIRES
2014;F;D;611;823; 10 000,00    ;ESPACES VERTS URBAINS
2014;F;D;611;824; 2 500,00    ;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
2014;F;D;611;91; 58 000,00    ;FOIRES ET MARCHES
2014;F;D;611;524; 390 000,00    ;AUTRES SERVICES
2014;F;D;611;813; 20 532 500,00    ;PROPRETE URBAINE
2014;F;D;611;814; 5 000,00    ;ECLAIRAGE PUBLIC
2014;F;D;611;816; 17 200,00    ;AUTRES RESEAUX ET SERVICES DIVERS
2014;F;D;611;821; 5 000,00    ;EQUIPEMENTS DE VOIRIE
2014;F;D;611;822; 1 608 475,00    ;VOIRIE COMMUNALE ET ROUTES
2014;F;D;611;251; 2 300,00    ;HEBERGEMENT ET RESTAURATION SCOLAIRE
2014;F;D;611;30; 15 000,00    ;SERVICES COMMUNS
2014;F;D;611;323; 50 000,00    ;ARCHIVES
2014;F;D;611;415; 9 070,00    ;MANIFESTATIONS SPORTIVES
2014;F;D;611;421; -      ;CENTRES DE LOISIRS
2014;F;D;611;520; 229 000,00    ;SERVICES COMMUNS
2014;I;D;165;; 14 100,00    ;
2014;I;R;165;; 36 100,00    ;
2014;F;D;637;; 90 900,00    ;
2014;F;D;637;20; 15 300,00    ;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2014;F;D;637;22; 100,00    ;ADMINISTRATION GENERALE DE L'ETAT
2014;F;D;637;23; 5 000,00    ;INFORMATION, COMMUNICATION, PUBLICITE
2014;F;D;637;25; 200,00    ;AIDES AUX ASSOCIATIONS (NON CLASSEES AILLEURS)
2014;F;D;637;211; 100,00    ;ECOLES MATERNELLES
2014;F;D;637;422; 19 250,00    ;AUTRES ACTIVITES POUR LES JEUNES
2014;F;D;637;64; -      ;CRECHES ET GARDERIES
2014;F;D;637;821; 50,00    ;EQUIPEMENTS DE VOIRIE
2014;F;D;637;823; -      ;ESPACES VERTS URBAINS
2014;F;D;637;251; -      ;HEBERGEMENT ET RESTAURATION SCOLAIRE
2014;F;D;637;30; 20 000,00    ;SERVICES COMMUNS
2014;F;D;637;313; 40 000,00    ;THEATRES
2014;F;D;637;314; 15 000,00    ;CINEMAS ET AUTRES SALLES DE SPECTACLES
2014;F;D;637;322; 42 000,00    ;MUSEES
2014;F;D;637;40; 1 800,00    ;SERVICES COMMUNS
2014;F;D;668;; 125 000,00    ;
2014;I;D;275;; 200 000,00    ;
2014;I;R;275;; 200 000,00    ;
2014;F;R;752;20; 584 250,00    ;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2014;F;R;752;24; 16 470,00    ;FETES ET CEREMONIES
2014;F;R;752;213; 100 000,00    ;CLASSES REGROUPEES
2014;F;R;752;30; 14 000,00    ;SERVICES COMMUNS
2014;F;R;752;311; 78 000,00    ;EXPRESSION MUSICALE, LYRIQUE ET CHOREGRAPHIQUE
2014;F;R;752;422; 90 000,00    ;AUTRES ACTIVITES POUR LES JEUNES
2014;F;R;752;520; 23 000,00    ;SERVICES COMMUNS
2014;F;R;752;822; 1 357 544,00    ;VOIRIE COMMUNALE ET ROUTES
2014;F;D;614;20; 1 346 988,00    ;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2014;F;D;614;12; 580,00    ;HYGIENE ET SALUBRITE PUBLIQUE
2014;F;D;614;411; 13 600,00    ;SALLES DE SPORT, GYMNASES
2014;F;D;627;20; 11 100,00    ;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2014;F;D;627;26; 200,00    ;CIMETIERES ET POMPES FUNEBRES
2014;F;D;627;48; 50,00    ;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
2014;F;D;627;251; -      ;HEBERGEMENT ET RESTAURATION SCOLAIRE
2014;F;D;627;30; 80,00    ;SERVICES COMMUNS
2014;F;D;627;91; 2 000,00    ;FOIRES ET MARCHES
2014;F;D;627;313; 100,00    ;THEATRES
2014;F;D;627;421; 200,00    ;CENTRES DE LOISIRS
2014;F;D;627;422; 300,00    ;AUTRES ACTIVITES POUR LES JEUNES
2014;F;D;627;64; 6 000,00    ;CRECHES ET GARDERIES
2014;F;D;627;822; 20 000,00    ;VOIRIE COMMUNALE ET ROUTES
2014;F;D;627;823; 2 400,00    ;ESPACES VERTS URBAINS
2014;F;R;761;; 16 000,00    ;
2014;I;D;274;520; 90 000,00    ;SERVICES COMMUNS
2014;I;R;274;; 22 000 000,00    ;
2014;I;R;274;520; 90 000,00    ;SERVICES COMMUNS
2014;I;D;274;; 12 000 000,00    ;
2014;F;R;764;; 1 000,00    ;
2014;F;D;658;20; 1 453 000,00    ;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2014;F;D;658;12; 10 000,00    ;HYGIENE ET SALUBRITE PUBLIQUE
2014;F;D;658;211; 25 000,00    ;ECOLES MATERNELLES
2014;F;D;658;30; 25 000,00    ;SERVICES COMMUNS
2014;F;D;658;313; 50,00    ;THEATRES
2014;F;D;658;411; 25 000,00    ;SALLES DE SPORT, GYMNASES
2014;F;D;658;91; 50 000,00    ;FOIRES ET MARCHES
2014;F;D;658;421; 1 000,00    ;CENTRES DE LOISIRS
2014;F;D;658;422; 2 500,00    ;AUTRES ACTIVITES POUR LES JEUNES
2014;F;D;658;520; 25 000,00    ;SERVICES COMMUNS
2014;F;D;658;64; 588 000,00    ;CRECHES ET GARDERIES
2014;F;D;658;816; 320 000,00    ;AUTRES RESEAUX ET SERVICES DIVERS
2014;F;D;658;822; 120 000,00    ;VOIRIE COMMUNALE ET ROUTES
2014;F;D;673;; 500 000,00    ;
2014;F;D;617;20; 399 950,00    ;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2014;F;D;617;48; -      ;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
2014;F;D;617;112; 47 300,00    ;POLICE MUNICIPALE
2014;F;D;617;211; 180 000,00    ;ECOLES MATERNELLES
2014;F;D;617;212; 4 070,00    ;ECOLES PRIMAIRES
2014;F;D;617;251; 20 000,00    ;HEBERGEMENT ET RESTAURATION SCOLAIRE
2014;F;D;617;823; 20 000,00    ;ESPACES VERTS URBAINS
2014;F;D;617;824; 117 000,00    ;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
2014;F;D;617;91; 67 000,00    ;FOIRES ET MARCHES
2014;F;D;617;40; 900,00    ;SERVICES COMMUNS
2014;F;D;617;64; -      ;CRECHES ET GARDERIES
2014;F;D;617;810; 45 000,00    ;SERVICES COMMUNS
2014;F;D;617;814; 120 000,00    ;ECLAIRAGE PUBLIC
2014;F;D;617;816; -      ;AUTRES RESEAUX ET SERVICES DIVERS
2014;F;D;617;820; 33 000,00    ;SERVICES COMMUNS
2014;F;R;757;20; 250 000,00    ;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2014;F;R;757;112; 50 300,00    ;POLICE MUNICIPALE
2014;F;R;757;821; -      ;EQUIPEMENTS DE VOIRIE
2014;F;R;757;822; 2 177 100,00    ;VOIRIE COMMUNALE ET ROUTES
2014;F;R;757;90; 164 000,00    ;INTERVENTIONS ECONOMIQUES
2014;F;R;757;91; 525 400,00    ;FOIRES ET MARCHES
2014;F;R;746;; 1 217 948,00    ;
2014;I;R;237;824; -      ;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
2014;F;D;678;; 55 000,00    ;
2014;F;D;678;20; 5 800,00    ;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2014;F;D;678;26; -      ;CIMETIERES ET POMPES FUNEBRES
2014;F;D;678;251; -      ;HEBERGEMENT ET RESTAURATION SCOLAIRE
2014;F;D;678;311; -      ;EXPRESSION MUSICALE, LYRIQUE ET CHOREGRAPHIQUE
2014;F;D;678;422; 5 000,00    ;AUTRES ACTIVITES POUR LES JEUNES
2014;F;D;678;64; 4 000,00    ;CRECHES ET GARDERIES
2014;F;D;678;823; 1 000,00    ;ESPACES VERTS URBAINS
2014;F;R;768;; -      ;
2014;F;D;23;; 14 809 949,00    ;
2014;I;R;24;; 7 126 235,00    ;
2014;I;R;21;; 14 809 949,00    ;
2014;I;D;1641;; 12 400 000,00    ;
2014;I;R;1641;; 32 757 701,00    ;
2014;F;D;6561;; 81 458,00    ;
2014;F;D;6541;; 150 000,00    ;
2014;I;D;2315;20; -      ;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2014;I;D;2315;212; 1 000,00    ;ECOLES PRIMAIRES
2014;I;D;2315;810; 400 000,00    ;SERVICES COMMUNS
2014;I;D;2315;813; -      ;PROPRETE URBAINE
2014;I;D;2315;814; -      ;ECLAIRAGE PUBLIC
2014;I;D;2315;816; 1 172 263,00    ;AUTRES RESEAUX ET SERVICES DIVERS
2014;I;R;2315;821; -      ;EQUIPEMENTS DE VOIRIE
2014;I;D;2315;821; 1 726 000,00    ;EQUIPEMENTS DE VOIRIE
2014;I;D;2315;822; 11 200 150,00    ;VOIRIE COMMUNALE ET ROUTES
2014;I;D;2315;824; 4 612 000,00    ;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
2014;I;D;2315;91; 150 000,00    ;FOIRES ET MARCHES
2014;I;R;2315;; -      ;
2014;I;R;2315;816; 80 000,00    ;AUTRES RESEAUX ET SERVICES DIVERS
2014;I;D;2316;323; 20 000,00    ;ARCHIVES
2014;I;D;2316;324; 25 000,00    ;ENTRETIEN DU PATRIMOINE CULTUREL
2014;I;D;2312;26; 634 000,00    ;CIMETIERES ET POMPES FUNEBRES
2014;I;D;2312;211; -      ;ECOLES MATERNELLES
2014;I;D;2312;212; -      ;ECOLES PRIMAIRES
2014;I;D;2312;412; 540 000,00    ;STADES
2014;I;D;2312;64; 100 000,00    ;CRECHES ET GARDERIES
2014;I;D;2312;823; 1 325 000,00    ;ESPACES VERTS URBAINS
2014;I;R;2312;; -      ;
2014;I;D;2318;112; -      ;POLICE MUNICIPALE
2014;I;D;2088;20; -      ;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2014;I;D;2088;824; -      ;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
2014;I;R;2088;20; -      ;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2014;I;D;2051;20; 744 500,00    ;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2014;I;D;2051;23; 4 000,00    ;INFORMATION, COMMUNICATION, PUBLICITE
2014;I;D;2051;112; 15 000,00    ;POLICE MUNICIPALE
2014;I;D;2051;213; 5 600,00    ;CLASSES REGROUPEES
2014;I;D;2051;323; 150 000,00    ;ARCHIVES
2014;I;D;2051;422; 10 000,00    ;AUTRES ACTIVITES POUR LES JEUNES
2014;I;D;2051;91; 20 000,00    ;FOIRES ET MARCHES
2014;I;D;2051;520; 500,00    ;SERVICES COMMUNS
2014;I;D;2051;64; 100 000,00    ;CRECHES ET GARDERIES
2014;I;D;2051;820; 15 850,00    ;SERVICES COMMUNS
2014;I;D;2051;821; 20 000,00    ;EQUIPEMENTS DE VOIRIE
2014;I;D;2051;822; 40 000,00    ;VOIRIE COMMUNALE ET ROUTES
2014;I;D;2051;824; 13 000,00    ;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
2014;F;R;7788;20; 50 100,00    ;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2014;F;R;7788;48; -      ;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
2014;F;R;7788;251; 2 000,00    ;HEBERGEMENT ET RESTAURATION SCOLAIRE
2014;F;R;7788;64; -      ;CRECHES ET GARDERIES
2014;F;R;7788;822; 397 800,00    ;VOIRIE COMMUNALE ET ROUTES
2014;F;D;6542;; 150 000,00    ;
2014;I;D;2313;20; 558 600,00    ;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2014;I;D;2313;26; 16 000,00    ;CIMETIERES ET POMPES FUNEBRES
2014;I;D;2313;48; 2 000,00    ;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
2014;I;D;2313;211; 480 000,00    ;ECOLES MATERNELLES
2014;I;D;2313;212; -      ;ECOLES PRIMAIRES
2014;I;D;2313;213; 8 757 650,00    ;CLASSES REGROUPEES
2014;I;D;2313;823; 2 554 000,00    ;ESPACES VERTS URBAINS
2014;I;D;2313;824; 26 686 211,00    ;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
2014;I;D;2313;91; 5 000,00    ;FOIRES ET MARCHES
2014;I;D;2313;412; 1 360 000,00    ;STADES
2014;I;D;2313;421; -      ;CENTRES DE LOISIRS
2014;I;D;2313;422; 2 500 000,00    ;AUTRES ACTIVITES POUR LES JEUNES
2014;I;D;2313;520; -      ;SERVICES COMMUNS
2014;I;D;2313;64; 1 570 000,00    ;CRECHES ET GARDERIES
2014;I;D;2313;814; 190 000,00    ;ECLAIRAGE PUBLIC
2014;I;D;2313;251; 816 000,00    ;HEBERGEMENT ET RESTAURATION SCOLAIRE
2014;I;D;2313;30; 150 000,00    ;SERVICES COMMUNS
2014;I;D;2313;322; -      ;MUSEES
2014;I;D;2313;323; -      ;ARCHIVES
2014;I;D;2313;324; 880 000,00    ;ENTRETIEN DU PATRIMOINE CULTUREL
2014;I;D;2313;411; 360 000,00    ;SALLES DE SPORT, GYMNASES
2014;I;R;1321;112; -      ;POLICE MUNICIPALE
2014;I;R;1321;324; -      ;ENTRETIEN DU PATRIMOINE CULTUREL
2014;I;R;1321;816; 19 174,50    ;AUTRES RESEAUX ET SERVICES DIVERS
2014;I;R;1321;822; 100 000,00    ;VOIRIE COMMUNALE ET ROUTES
2014;I;R;1321;823; 100 000,00    ;ESPACES VERTS URBAINS
2014;I;R;1321;824; -      ;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
2014;I;R;1321;832; -      ;ACTIONS SPECIFIQUES DE LUTTE CONTRE LA POLLUTION
2014;I;R;4542;; 81 000,00    ;
2014;F;R;7343;; 50 000,00    ;
2014;F;D;6718;20; 30 001,00    ;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2014;F;D;6718;48; -      ;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
2014;F;D;6718;422; 1 000,00    ;AUTRES ACTIVITES POUR LES JEUNES
2014;F;D;6718;64; -      ;CRECHES ET GARDERIES
2014;F;R;7351;; 4 600 000,00    ;
2014;F;R;7482;; 25 000,00    ;
2014;F;D;6184;20; 527 000,00    ;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2014;F;D;6184;25; 11 400,00    ;AIDES AUX ASSOCIATIONS (NON CLASSEES AILLEURS)
2014;F;D;6184;64; -      ;CRECHES ET GARDERIES
2014;F;D;6184;91; 3 000,00    ;FOIRES ET MARCHES
2014;F;R;7478;; 410 608,00    ;
2014;F;R;7478;421; 850 000,00    ;CENTRES DE LOISIRS
2014;F;R;7478;64; 10 690 000,00    ;CRECHES ET GARDERIES
2014;F;R;7478;816; -      ;AUTRES RESEAUX ET SERVICES DIVERS
2014;F;D;6156;20; 1 418 073,00    ;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2014;F;D;6156;22; 14 700,00    ;ADMINISTRATION GENERALE DE L'ETAT
2014;F;D;6156;24; 2 300,00    ;FETES ET CEREMONIES
2014;F;D;6156;25; -      ;AIDES AUX ASSOCIATIONS (NON CLASSEES AILLEURS)
2014;F;D;6156;26; 8 300,00    ;CIMETIERES ET POMPES FUNEBRES
2014;F;D;6156;48; 7 000,00    ;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
2014;F;D;6156;821; 1 273 000,00    ;EQUIPEMENTS DE VOIRIE
2014;F;D;6156;822; 153 380,00    ;VOIRIE COMMUNALE ET ROUTES
2014;F;D;6156;823; 79 000,00    ;ESPACES VERTS URBAINS
2014;F;D;6156;824; 800,00    ;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
2014;F;D;6156;91; 65 300,00    ;FOIRES ET MARCHES
2014;F;D;6156;520; 3 700,00    ;SERVICES COMMUNS
2014;F;D;6156;64; 76 300,00    ;CRECHES ET GARDERIES
2014;F;D;6156;813; 30 000,00    ;PROPRETE URBAINE
2014;F;D;6156;814; 1 500,00    ;ECLAIRAGE PUBLIC
2014;F;D;6156;816; 147 000,00    ;AUTRES RESEAUX ET SERVICES DIVERS
2014;F;D;6156;820; 36 400,00    ;SERVICES COMMUNS
2014;F;D;6156;30; 20 000,00    ;SERVICES COMMUNS
2014;F;D;6156;313; 5 000,00    ;THEATRES
2014;F;D;6156;322; 3 000,00    ;MUSEES
2014;F;D;6156;323; 3 500,00    ;ARCHIVES
2014;F;D;6156;411; 23 600,00    ;SALLES DE SPORT, GYMNASES
2014;F;D;6156;422; 44 820,00    ;AUTRES ACTIVITES POUR LES JEUNES
2014;F;D;6156;112; 131 500,00    ;POLICE MUNICIPALE
2014;F;D;6156;12; 25 900,00    ;HYGIENE ET SALUBRITE PUBLIQUE
2014;F;D;6156;211; 73 000,00    ;ECOLES MATERNELLES
2014;F;D;6156;212; 97 000,00    ;ECOLES PRIMAIRES
2014;F;D;6156;213; 17 000,00    ;CLASSES REGROUPEES
2014;F;D;6156;251; 71 000,00    ;HEBERGEMENT ET RESTAURATION SCOLAIRE
2014;F;D;6231;20; 184 614,00    ;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2014;F;D;6231;23; 103 000,00    ;INFORMATION, COMMUNICATION, PUBLICITE
2014;F;D;6231;26; 2 500,00    ;CIMETIERES ET POMPES FUNEBRES
2014;F;D;6231;48; 2 000,00    ;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
2014;F;D;6231;212; 900,00    ;ECOLES PRIMAIRES
2014;F;D;6231;251; 5 000,00    ;HEBERGEMENT ET RESTAURATION SCOLAIRE
2014;F;D;6231;816; 1 500,00    ;AUTRES RESEAUX ET SERVICES DIVERS
2014;F;D;6231;820; 26 000,00    ;SERVICES COMMUNS
2014;F;D;6231;822; 800,00    ;VOIRIE COMMUNALE ET ROUTES
2014;F;D;6231;823; 3 500,00    ;ESPACES VERTS URBAINS
2014;F;D;6231;91; 15 000,00    ;FOIRES ET MARCHES
2014;F;D;6231;30; 14 000,00    ;SERVICES COMMUNS
2014;F;D;6231;322; 8 000,00    ;MUSEES
2014;F;D;6231;40; 4 500,00    ;SERVICES COMMUNS
2014;F;D;6231;422; 2 800,00    ;AUTRES ACTIVITES POUR LES JEUNES
2014;F;D;6231;64; 4 000,00    ;CRECHES ET GARDERIES
2014;F;D;6231;813; 5 000,00    ;PROPRETE URBAINE
2014;I;D;2132;520; 93 000,00    ;SERVICES COMMUNS
2014;F;D;6262;20; 392 000,00    ;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2014;F;D;6262;48; 250,00    ;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
2014;F;D;6262;112; 90 000,00    ;POLICE MUNICIPALE
2014;F;D;6262;20; -      ;SERVICES COMMUNS
2014;F;D;6262;213; 30 000,00    ;CLASSES REGROUPEES
2014;F;D;6262;33; 6 000,00    ;ACTION CULTURELLE
2014;F;D;6262;40; -      ;SERVICES COMMUNS
2014;F;D;6262;422; 70 000,00    ;AUTRES ACTIVITES POUR LES JEUNES
2014;F;D;6262;64; 28 000,00    ;CRECHES ET GARDERIES
2014;F;D;6262;820; -      ;SERVICES COMMUNS
2014;F;R;7488;251; 50 000,00    ;HEBERGEMENT ET RESTAURATION SCOLAIRE
2014;I;R;1342;; 5 250 000,00    ;
2014;F;D;6815;; -      ;
2014;F;R;7066;422; 48 980,00    ;AUTRES ACTIVITES POUR LES JEUNES
2014;F;R;7066;64; 2 900 000,00    ;CRECHES ET GARDERIES
2014;F;R;7088;20; 3 100,00    ;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2014;F;R;7088;30; 25 000,00    ;SERVICES COMMUNS
2014;F;R;7088;422; 72 500,00    ;AUTRES ACTIVITES POUR LES JEUNES
2014;F;D;6247;20; 500,00    ;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2014;F;D;6247;48; 8 000,00    ;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
2014;F;D;6247;211; 12 450,00    ;ECOLES MATERNELLES
2014;F;D;6247;212; 33 700,00    ;ECOLES PRIMAIRES
2014;F;D;6247;251; 950,00    ;HEBERGEMENT ET RESTAURATION SCOLAIRE
2014;F;D;6247;415; 22 680,00    ;MANIFESTATIONS SPORTIVES
2014;F;D;6247;421; 139 000,00    ;CENTRES DE LOISIRS
2014;F;D;6247;422; 27 000,00    ;AUTRES ACTIVITES POUR LES JEUNES
2014;F;D;6713;48; -      ;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
2014;F;D;6713;520; 33 000,00    ;SERVICES COMMUNS
2014;F;D;6228;422; 4 130,00    ;AUTRES ACTIVITES POUR LES JEUNES
2014;F;D;6228;64; 12 250,00    ;CRECHES ET GARDERIES
2014;F;D;6228;816; 4 000,00    ;AUTRES RESEAUX ET SERVICES DIVERS
2014;F;D;6228;823; 20 000,00    ;ESPACES VERTS URBAINS
2014;F;R;7062;30; 2 500,00    ;SERVICES COMMUNS
2014;F;R;7062;313; 85 000,00    ;THEATRES
2014;F;R;7062;314; 100 000,00    ;CINEMAS ET AUTRES SALLES DE SPECTACLES
2014;F;R;7062;323; 1 200,00    ;ARCHIVES
2014;F;R;7062;422; 360 000,00    ;AUTRES ACTIVITES POUR LES JEUNES
2014;F;D;6532;21; 40 000,00    ;ASSEMBLEE LOCALE
2014;F;D;6532;48; 20 000,00    ;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
2014;F;D;6532;90; 22 000,00    ;INTERVENTIONS ECONOMIQUES
2014;F;D;6244;20; 31 600,00    ;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2014;F;D;6244;48; 100,00    ;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
2014;F;D;6244;30; 150,00    ;SERVICES COMMUNS
2014;F;D;6244;823; -      ;ESPACES VERTS URBAINS
2014;I;D;2158;26; -      ;CIMETIERES ET POMPES FUNEBRES
2014;I;D;2135;20; 726 900,00    ;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2014;I;D;2135;48; 1 708,00    ;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
2014;I;D;2135;251; 100 000,00    ;HEBERGEMENT ET RESTAURATION SCOLAIRE
2014;I;D;2135;411; -      ;SALLES DE SPORT, GYMNASES
2014;I;D;2135;422; -      ;AUTRES ACTIVITES POUR LES JEUNES
2014;I;D;2135;816; 300 000,00    ;AUTRES RESEAUX ET SERVICES DIVERS
2014;I;D;2135;822; 50 000,00    ;VOIRIE COMMUNALE ET ROUTES
2014;I;D;2135;824; -      ;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
2014;F;D;6238;20; 169 240,00    ;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2014;F;D;6238;23; 7 000,00    ;INFORMATION, COMMUNICATION, PUBLICITE
2014;F;D;6238;25; 10 000,00    ;AIDES AUX ASSOCIATIONS (NON CLASSEES AILLEURS)
2014;F;D;6238;26; 2 700,00    ;CIMETIERES ET POMPES FUNEBRES
2014;F;D;6238;48; 5 000,00    ;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
2014;F;D;6238;212; 16 400,00    ;ECOLES PRIMAIRES
2014;F;D;6238;823; 85 000,00    ;ESPACES VERTS URBAINS
2014;F;D;6238;824; -      ;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
2014;F;D;6238;91; 435 000,00    ;FOIRES ET MARCHES
2014;F;D;6238;415; 13 600,00    ;MANIFESTATIONS SPORTIVES
2014;F;D;6238;421; 315 000,00    ;CENTRES DE LOISIRS
2014;F;D;6238;422; 128 120,00    ;AUTRES ACTIVITES POUR LES JEUNES
2014;F;D;6238;520; 27 468,00    ;SERVICES COMMUNS
2014;F;D;6238;64; 17 000,00    ;CRECHES ET GARDERIES
2014;F;D;6238;822; 1 000,00    ;VOIRIE COMMUNALE ET ROUTES
2014;F;D;6238;251; 40 500,00    ;HEBERGEMENT ET RESTAURATION SCOLAIRE
2014;F;D;6238;30; 1 000 000,00    ;SERVICES COMMUNS
2014;F;D;6238;313; 350 000,00    ;THEATRES
2014;F;D;6238;314; 20 000,00    ;CINEMAS ET AUTRES SALLES DE SPECTACLES
2014;F;D;6238;322; 680 000,00    ;MUSEES
2014;F;D;6238;40; 2 770,00    ;SERVICES COMMUNS
2014;F;D;6714;48; 30 000,00    ;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
2014;F;D;6714;422; 18 390,00    ;AUTRES ACTIVITES POUR LES JEUNES
2014;I;R;1322;213; 133 087,00    ;CLASSES REGROUPEES
