Exercice;I_F;D_R;Nature;Sous-fontion;Montant;Libellé fonction
2012;F;1;60622;20;545468;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2012;F;1;60622;26;100;CIMETIERES ET POMPES FUNEBRES
2012;F;1;60622;40;460;SERVICES COMMUNS
2012;F;1;60622;823;16000;ESPACES VERTS URBAINS
2012;F;1;60623;20;11000;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2012;F;1;60623;24;25000;FETES ET CEREMONIES
2012;F;1;60623;48;10000;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
2012;F;1;60623;112;8500;POLICE MUNICIPALE
2012;F;1;60623;251;2438930;HEBERGEMENT ET RESTAURATION SCOLAIRE
2012;F;1;60623;313;2000;THEATRES
2012;F;1;60623;421;50000;CENTRES DE LOISIRS
2012;F;1;60623;422;68540;AUTRES ACTIVITES POUR LES JEUNES
2012;F;1;60623;520;100;SERVICES COMMUNS
2012;F;1;60623;64;499600;CRECHES ET GARDERIES
2012;F;1;60623;823;250100;ESPACES VERTS URBAINS
2012;F;1;60624;20;1200;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2012;F;1;60624;12;1200;HYGIENE ET SALUBRITE PUBLIQUE
2012;F;1;60624;323;70;ARCHIVES
2012;F;1;60624;820;100;SERVICES COMMUNS
2012;F;1;60624;822;1500;VOIRIE COMMUNALE ET ROUTES
2012;F;1;60624;823;15000;ESPACES VERTS URBAINS
2012;F;1;60628;20;341657;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2012;F;1;60628;22;1250;ADMINISTRATION GENERALE DE L'ETAT
2012;F;1;60628;24;49254;FETES ET CEREMONIES
2012;F;1;60628;25;200;AIDES AUX ASSOCIATIONS (NON CLASSEES AILLEURS)
2012;F;1;60628;26;3000;CIMETIERES ET POMPES FUNEBRES
2012;F;1;60628;48;3000;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
2012;F;1;60628;112;8000;POLICE MUNICIPALE
2012;F;1;60628;12;13250;HYGIENE ET SALUBRITE PUBLIQUE
2012;F;1;60628;211;65052;ECOLES MATERNELLES
2012;F;1;60628;212;69205;ECOLES PRIMAIRES
2012;F;1;60628;251;262175;HEBERGEMENT ET RESTAURATION SCOLAIRE
2012;F;1;60628;30;14000;SERVICES COMMUNS
2012;F;1;60628;314;5000;CINEMAS ET AUTRES SALLES DE SPECTACLES
2012;F;1;60628;323;350;ARCHIVES
2012;F;1;60628;411;60510;SALLES DE SPORT, GYMNASES
2012;F;1;60628;412;46550;STADES
2012;F;1;60628;415;3260;MANIFESTATIONS SPORTIVES
2012;F;1;60628;421;101790;CENTRES DE LOISIRS
2012;F;1;60628;422;18012;AUTRES ACTIVITES POUR LES JEUNES
2012;F;1;60628;64;25940;CRECHES ET GARDERIES
2012;F;1;60628;814;176988;ECLAIRAGE PUBLIC
2012;F;1;60628;816;150;AUTRES RESEAUX ET SERVICES DIVERS
2012;F;1;60628;820;1665,5;SERVICES COMMUNS
2012;F;1;60628;821;10460;EQUIPEMENTS DE VOIRIE
2012;F;1;60628;822;26650;VOIRIE COMMUNALE ET ROUTES
2012;F;1;60628;823;184160;ESPACES VERTS URBAINS
2012;F;1;60628;91;15000;FOIRES ET MARCHES
2012;F;1;60631;20;335774;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2012;F;1;60631;22;300;ADMINISTRATION GENERALE DE L'ETAT
2012;F;1;60631;24;3135;FETES ET CEREMONIES
2012;F;1;60631;26;700;CIMETIERES ET POMPES FUNEBRES
2012;F;1;60631;48;1200;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
2012;F;1;60631;12;1650;HYGIENE ET SALUBRITE PUBLIQUE
2012;F;1;60631;211;49212;ECOLES MATERNELLES
2012;F;1;60631;212;56321;ECOLES PRIMAIRES
2012;F;1;60631;251;106352;HEBERGEMENT ET RESTAURATION SCOLAIRE
2012;F;1;60631;30;400;SERVICES COMMUNS
2012;F;1;60631;313;3000;THEATRES
2012;F;1;60631;323;340;ARCHIVES
2012;F;1;60631;411;22340;SALLES DE SPORT, GYMNASES
2012;F;1;60631;412;9310;STADES
2012;F;1;60631;421;6109;CENTRES DE LOISIRS
2012;F;1;60631;422;26673;AUTRES ACTIVITES POUR LES JEUNES
2012;F;1;60631;64;47100;CRECHES ET GARDERIES
2012;F;1;60631;813;1500;PROPRETE URBAINE
2012;F;1;60631;814;450,8;ECLAIRAGE PUBLIC
2012;F;1;60631;816;100;AUTRES RESEAUX ET SERVICES DIVERS
2012;F;1;60631;821;2000;EQUIPEMENTS DE VOIRIE
2012;F;1;60631;822;6650;VOIRIE COMMUNALE ET ROUTES
2012;F;1;60631;823;19800;ESPACES VERTS URBAINS
2012;F;1;60631;91;750;FOIRES ET MARCHES
2012;F;1;60632;20;545722;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2012;F;1;60632;22;1800;ADMINISTRATION GENERALE DE L'ETAT
2012;F;1;60632;24;39254;FETES ET CEREMONIES
2012;F;1;60632;26;2000;CIMETIERES ET POMPES FUNEBRES
2012;F;1;60632;48;3000;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
2012;F;1;60632;112;11000;POLICE MUNICIPALE
2012;F;1;60632;12;3200;HYGIENE ET SALUBRITE PUBLIQUE
2012;F;1;60632;211;93100;ECOLES MATERNELLES
2012;F;1;60632;212;61740;ECOLES PRIMAIRES
2012;F;1;60632;251;53555;HEBERGEMENT ET RESTAURATION SCOLAIRE
2012;F;1;60632;30;29390;SERVICES COMMUNS
2012;F;1;60632;313;20000;THEATRES
2012;F;1;60632;314;3000;CINEMAS ET AUTRES SALLES DE SPECTACLES
2012;F;1;60632;323;4400;ARCHIVES
2012;F;1;60632;411;51200;SALLES DE SPORT, GYMNASES
2012;F;1;60632;412;32580;STADES
2012;F;1;60632;415;9310;MANIFESTATIONS SPORTIVES
2012;F;1;60632;421;55102;CENTRES DE LOISIRS
2012;F;1;60632;422;45091;AUTRES ACTIVITES POUR LES JEUNES
2012;F;1;60632;64;67350;CRECHES ET GARDERIES
2012;F;1;60632;810;2000;SERVICES COMMUNS
2012;F;1;60632;813;220;PROPRETE URBAINE
2012;F;1;60632;814;149000;ECLAIRAGE PUBLIC
2012;F;1;60632;816;900;AUTRES RESEAUX ET SERVICES DIVERS
2012;F;1;60632;821;51025;EQUIPEMENTS DE VOIRIE
2012;F;1;60632;822;8250;VOIRIE COMMUNALE ET ROUTES
2012;F;1;60632;823;186200;ESPACES VERTS URBAINS
2012;F;1;60632;824;100;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
2012;F;1;60632;91;5000;FOIRES ET MARCHES
2012;F;1;60633;40;1860;SERVICES COMMUNS
2012;F;1;60633;821;450;EQUIPEMENTS DE VOIRIE
2012;F;1;60633;822;22000;VOIRIE COMMUNALE ET ROUTES
2012;F;1;60633;823;500;ESPACES VERTS URBAINS
2012;F;1;60636;20;52824;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2012;F;1;60636;24;14825;FETES ET CEREMONIES
2012;F;1;60636;26;11000;CIMETIERES ET POMPES FUNEBRES
2012;F;1;60636;48;1050;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
2012;F;1;60636;112;96900;POLICE MUNICIPALE
2012;F;1;60636;12;1220;HYGIENE ET SALUBRITE PUBLIQUE
2012;F;1;60636;213;66158;CLASSES REGROUPEES
2012;F;1;60636;251;23590;HEBERGEMENT ET RESTAURATION SCOLAIRE
2012;F;1;60636;30;1200;SERVICES COMMUNS
2012;F;1;60636;323;490;ARCHIVES
2012;F;1;60636;40;10240;SERVICES COMMUNS
2012;F;1;60636;415;9310;MANIFESTATIONS SPORTIVES
2012;F;1;60636;422;2000;AUTRES ACTIVITES POUR LES JEUNES
2012;F;1;60636;64;30000;CRECHES ET GARDERIES
2012;F;1;60636;810;4500;SERVICES COMMUNS
2012;F;1;60636;813;770;PROPRETE URBAINE
2012;F;1;60636;814;6566;ECLAIRAGE PUBLIC
2012;F;1;60636;816;300;AUTRES RESEAUX ET SERVICES DIVERS
2012;F;1;60636;820;300;SERVICES COMMUNS
2012;F;1;60636;821;7000;EQUIPEMENTS DE VOIRIE
2012;F;1;60636;822;8000;VOIRIE COMMUNALE ET ROUTES
2012;F;1;60636;823;40000;ESPACES VERTS URBAINS
2012;F;1;60636;91;2000;FOIRES ET MARCHES
2012;F;1;6064;20;592305;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2012;F;1;6064;22;37300;ADMINISTRATION GENERALE DE L'ETAT
2012;F;1;6064;24;4300;FETES ET CEREMONIES
2012;F;1;6064;26;2500;CIMETIERES ET POMPES FUNEBRES
2012;F;1;6064;48;1700;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
2012;F;1;6064;112;10000;POLICE MUNICIPALE
2012;F;1;6064;12;4300;HYGIENE ET SALUBRITE PUBLIQUE
2012;F;1;6064;212;203000;ECOLES PRIMAIRES
2012;F;1;6064;213;7541;CLASSES REGROUPEES
2012;F;1;6064;251;38285;HEBERGEMENT ET RESTAURATION SCOLAIRE
2012;F;1;6064;30;3996,53;SERVICES COMMUNS
2012;F;1;6064;313;6000;THEATRES
2012;F;1;6064;314;1000;CINEMAS ET AUTRES SALLES DE SPECTACLES
2012;F;1;6064;323;28038;ARCHIVES
2012;F;1;6064;40;8400;SERVICES COMMUNS
2012;F;1;6064;421;12342;CENTRES DE LOISIRS
2012;F;1;6064;422;34264;AUTRES ACTIVITES POUR LES JEUNES
2012;F;1;6064;520;100;SERVICES COMMUNS
2012;F;1;6064;64;15500;CRECHES ET GARDERIES
2012;F;1;6064;810;4800;SERVICES COMMUNS
2012;F;1;6064;813;1200;PROPRETE URBAINE
2012;F;1;6064;814;2646;ECLAIRAGE PUBLIC
2012;F;1;6064;816;3500;AUTRES RESEAUX ET SERVICES DIVERS
2012;F;1;6064;820;25797;SERVICES COMMUNS
2012;F;1;6064;821;5170;EQUIPEMENTS DE VOIRIE
2012;F;1;6064;822;14500;VOIRIE COMMUNALE ET ROUTES
2012;F;1;6064;823;11100;ESPACES VERTS URBAINS
2012;F;1;6064;824;2000;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
2012;F;1;6064;91;4000;FOIRES ET MARCHES
2012;F;1;6065;20;2000;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2012;F;1;6065;48;196;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
2012;F;1;6065;211;15200;ECOLES MATERNELLES
2012;F;1;6065;212;47025;ECOLES PRIMAIRES
2012;F;1;6065;251;7500;HEBERGEMENT ET RESTAURATION SCOLAIRE
2012;F;1;6065;30;30000;SERVICES COMMUNS
2012;F;1;6065;313;1500;THEATRES
2012;F;1;6065;323;1470;ARCHIVES
2012;F;1;6065;421;465;CENTRES DE LOISIRS
2012;F;1;6067;211;539241;ECOLES MATERNELLES
2012;F;1;6067;422;26500;AUTRES ACTIVITES POUR LES JEUNES
2012;F;1;6068;422;7000;AUTRES ACTIVITES POUR LES JEUNES
2012;F;1;611;20;733745;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2012;F;1;611;25;2000;AIDES AUX ASSOCIATIONS (NON CLASSEES AILLEURS)
2012;F;1;611;26;2000;CIMETIERES ET POMPES FUNEBRES
2012;F;1;611;112;118500;POLICE MUNICIPALE
2012;F;1;611;12;125000;HYGIENE ET SALUBRITE PUBLIQUE
2012;F;1;611;212;27720;ECOLES PRIMAIRES
2012;F;1;611;251;4200;HEBERGEMENT ET RESTAURATION SCOLAIRE
2012;F;1;611;30;20000;SERVICES COMMUNS
2012;F;1;611;323;26300;ARCHIVES
2012;F;1;611;415;9310;MANIFESTATIONS SPORTIVES
2012;F;1;611;520;78500;SERVICES COMMUNS
2012;F;1;611;813;19132084;PROPRETE URBAINE
2012;F;1;611;816;6500;AUTRES RESEAUX ET SERVICES DIVERS
2012;F;1;611;822;1213000;VOIRIE COMMUNALE ET ROUTES
2012;F;1;611;823;8700;ESPACES VERTS URBAINS
2012;F;1;611;91;15000;FOIRES ET MARCHES
2012;F;1;6132;20;1233371;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2012;F;1;6132;112;67100;POLICE MUNICIPALE
2012;F;1;6132;40;46550;SERVICES COMMUNS
2012;F;1;6132;422;7500;AUTRES ACTIVITES POUR LES JEUNES
2012;F;1;6132;90;675000;INTERVENTIONS ECONOMIQUES
2012;F;1;6135;20;20910;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2012;F;1;6135;23;20000;INFORMATION, COMMUNICATION, PUBLICITE
2012;F;1;6135;24;12420;FETES ET CEREMONIES
2012;F;1;6135;25;40000;AIDES AUX ASSOCIATIONS (NON CLASSEES AILLEURS)
2012;F;1;6135;26;8000;CIMETIERES ET POMPES FUNEBRES
2012;F;1;6135;48;4900;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
2012;F;1;6135;112;4000;POLICE MUNICIPALE
2012;F;1;6135;211;63700;ECOLES MATERNELLES
2012;F;1;6135;212;193140;ECOLES PRIMAIRES
2012;F;1;6135;251;50000;HEBERGEMENT ET RESTAURATION SCOLAIRE
2012;F;1;6135;30;131406;SERVICES COMMUNS
2012;F;1;6135;313;20000;THEATRES
2012;F;1;6135;314;32000;CINEMAS ET AUTRES SALLES DE SPECTACLES
2012;F;1;6135;40;86720;SERVICES COMMUNS
2012;F;1;6135;415;46550;MANIFESTATIONS SPORTIVES
2012;F;1;6135;422;14000;AUTRES ACTIVITES POUR LES JEUNES
2012;F;1;6135;520;30000;SERVICES COMMUNS
2012;F;1;6135;823;5000;ESPACES VERTS URBAINS
2012;F;1;6135;90;44600;INTERVENTIONS ECONOMIQUES
2012;F;1;6135;91;399500;FOIRES ET MARCHES
2012;F;1;614;20;999750;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2012;F;1;614;12;580;HYGIENE ET SALUBRITE PUBLIQUE
2012;F;1;614;411;13960;SALLES DE SPORT, GYMNASES
2012;F;1;61521;20;51775;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2012;F;1;61521;26;16000;CIMETIERES ET POMPES FUNEBRES
2012;F;1;61521;211;44100;ECOLES MATERNELLES
2012;F;1;61521;212;42826;ECOLES PRIMAIRES
2012;F;1;61521;30;4000;SERVICES COMMUNS
2012;F;1;61521;412;133100;STADES
2012;F;1;61521;415;302300;MANIFESTATIONS SPORTIVES
2012;F;1;61521;422;1500;AUTRES ACTIVITES POUR LES JEUNES
2012;F;1;61521;823;2335350;ESPACES VERTS URBAINS
2012;F;1;61522;20;577000;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2012;F;1;61522;26;4200;CIMETIERES ET POMPES FUNEBRES
2012;F;1;61522;48;15000;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
2012;F;1;61522;211;302000;ECOLES MATERNELLES
2012;F;1;61522;212;343000;ECOLES PRIMAIRES
2012;F;1;61522;213;150420;CLASSES REGROUPEES
2012;F;1;61522;251;17000;HEBERGEMENT ET RESTAURATION SCOLAIRE
2012;F;1;61522;30;130000;SERVICES COMMUNS
2012;F;1;61522;411;127400;SALLES DE SPORT, GYMNASES
2012;F;1;61522;421;8390;CENTRES DE LOISIRS
2012;F;1;61522;422;201722;AUTRES ACTIVITES POUR LES JEUNES
2012;F;1;61522;64;180000;CRECHES ET GARDERIES
2012;F;1;61522;813;1500;PROPRETE URBAINE
2012;F;1;61522;822;11000;VOIRIE COMMUNALE ET ROUTES
2012;F;1;61522;823;30000;ESPACES VERTS URBAINS
2012;F;1;61522;824;18000;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
2012;F;1;61522;91;25000;FOIRES ET MARCHES
2012;F;1;61523;20;35767;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2012;F;1;61523;26;412311;CIMETIERES ET POMPES FUNEBRES
2012;F;1;61523;211;4704;ECOLES MATERNELLES
2012;F;1;61523;212;13720;ECOLES PRIMAIRES
2012;F;1;61523;251;3000;HEBERGEMENT ET RESTAURATION SCOLAIRE
2012;F;1;61523;412;4650;STADES
2012;F;1;61523;422;2000;AUTRES ACTIVITES POUR LES JEUNES
2012;F;1;61523;64;4000;CRECHES ET GARDERIES
2012;F;1;61523;814;180000;ECLAIRAGE PUBLIC
2012;F;1;61523;816;435000;AUTRES RESEAUX ET SERVICES DIVERS
2012;F;1;61523;821;120000;EQUIPEMENTS DE VOIRIE
2012;F;1;61523;822;1127000;VOIRIE COMMUNALE ET ROUTES
2012;F;1;61523;823;41700;ESPACES VERTS URBAINS
2012;F;1;61523;824;13000;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
2012;F;1;61523;91;25000;FOIRES ET MARCHES
2012;F;1;61524;823;17000;ESPACES VERTS URBAINS
2012;F;1;61551;20;174544;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2012;F;1;61551;251;23000;HEBERGEMENT ET RESTAURATION SCOLAIRE
2012;F;1;61551;412;2800;STADES
2012;F;1;61551;821;400;EQUIPEMENTS DE VOIRIE
2012;F;1;61551;823;50000;ESPACES VERTS URBAINS
2012;F;1;61558;20;17288;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2012;F;1;61558;24;10000;FETES ET CEREMONIES
2012;F;1;61558;48;1590;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
2012;F;1;61558;112;2000;POLICE MUNICIPALE
2012;F;1;61558;211;5756;ECOLES MATERNELLES
2012;F;1;61558;212;4700;ECOLES PRIMAIRES
2012;F;1;61558;251;41000;HEBERGEMENT ET RESTAURATION SCOLAIRE
2012;F;1;61558;40;8400;SERVICES COMMUNS
2012;F;1;61558;415;1860;MANIFESTATIONS SPORTIVES
2012;F;1;61558;422;2700;AUTRES ACTIVITES POUR LES JEUNES
2012;F;1;61558;64;22000;CRECHES ET GARDERIES
2012;F;1;61558;814;400;ECLAIRAGE PUBLIC
2012;F;1;61558;816;4000;AUTRES RESEAUX ET SERVICES DIVERS
2012;F;1;61558;821;375;EQUIPEMENTS DE VOIRIE
2012;F;1;61558;822;4500;VOIRIE COMMUNALE ET ROUTES
2012;F;1;61558;823;8500;ESPACES VERTS URBAINS
2012;F;1;6156;20;1365370;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2012;F;1;6156;22;7100;ADMINISTRATION GENERALE DE L'ETAT
2012;F;1;6156;24;2300;FETES ET CEREMONIES
2012;F;1;6156;26;8300;CIMETIERES ET POMPES FUNEBRES
2012;F;1;6156;48;9700;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
2012;F;1;6156;112;140300;POLICE MUNICIPALE
2012;F;1;6156;12;21050;HYGIENE ET SALUBRITE PUBLIQUE
2012;F;1;6156;211;104160;ECOLES MATERNELLES
2012;F;1;6156;212;132260;ECOLES PRIMAIRES
2012;F;1;6156;213;8433;CLASSES REGROUPEES
2012;F;1;6156;251;59415;HEBERGEMENT ET RESTAURATION SCOLAIRE
2012;F;1;6156;30;30000;SERVICES COMMUNS
2012;F;1;6156;313;5500;THEATRES
2012;F;1;6156;323;3500;ARCHIVES
2012;F;1;6156;411;23270;SALLES DE SPORT, GYMNASES
2012;F;1;6156;422;40881;AUTRES ACTIVITES POUR LES JEUNES
2012;F;1;6156;520;5410;SERVICES COMMUNS
2012;F;1;6156;64;149100;CRECHES ET GARDERIES
2012;F;1;6156;813;5000;PROPRETE URBAINE
2012;F;1;6156;816;17000;AUTRES RESEAUX ET SERVICES DIVERS
2012;F;1;6156;820;33420;SERVICES COMMUNS
2012;F;1;6156;821;870000;EQUIPEMENTS DE VOIRIE
2012;F;1;6156;822;183200;VOIRIE COMMUNALE ET ROUTES
2012;F;1;6156;823;102700;ESPACES VERTS URBAINS
2012;F;1;6156;824;1800;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
2012;F;1;6156;90;6700;INTERVENTIONS ECONOMIQUES
2012;F;1;6156;91;105207,5;FOIRES ET MARCHES
2012;F;1;616;20;968650;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2012;F;1;617;20;215100;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2012;F;1;617;26;10500;CIMETIERES ET POMPES FUNEBRES
2012;F;1;617;112;40000;POLICE MUNICIPALE
2012;F;1;617;211;921;ECOLES MATERNELLES
2012;F;1;617;212;4165;ECOLES PRIMAIRES
2012;F;1;617;251;280000;HEBERGEMENT ET RESTAURATION SCOLAIRE
2012;F;1;617;323;4900;ARCHIVES
2012;F;1;617;40;930;SERVICES COMMUNS
2012;F;1;617;520;32000;SERVICES COMMUNS
2012;F;1;617;814;70000;ECLAIRAGE PUBLIC
2012;F;1;617;820;30000;SERVICES COMMUNS
2012;F;1;617;824;168000;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
2012;F;1;617;91;46000;FOIRES ET MARCHES
2012;F;1;6182;20;111600;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2012;F;1;6182;23;5300;INFORMATION, COMMUNICATION, PUBLICITE
2012;F;1;6182;48;490;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
2012;F;1;6182;212;1410;ECOLES PRIMAIRES
2012;F;1;6182;251;1500;HEBERGEMENT ET RESTAURATION SCOLAIRE
2012;F;1;6182;30;2000;SERVICES COMMUNS
2012;F;1;6182;313;2500;THEATRES
2012;F;1;6182;323;490;ARCHIVES
2012;F;1;6182;422;9242;AUTRES ACTIVITES POUR LES JEUNES
2012;F;1;6182;520;1500;SERVICES COMMUNS
2012;F;1;6182;816;1200;AUTRES RESEAUX ET SERVICES DIVERS
2012;F;1;6182;824;100;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
2012;F;1;6184;20;555000;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2012;F;1;6184;25;50000;AIDES AUX ASSOCIATIONS (NON CLASSEES AILLEURS)
2012;F;1;6184;251;12000;HEBERGEMENT ET RESTAURATION SCOLAIRE
2012;F;1;6185;20;11000;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2012;F;1;6185;48;7000;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
2012;F;1;6185;422;1000;AUTRES ACTIVITES POUR LES JEUNES
2012;F;1;6185;520;900;SERVICES COMMUNS
2012;F;1;6188;20;360566;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2012;F;1;6188;22;6000;ADMINISTRATION GENERALE DE L'ETAT
2012;F;1;6188;23;357750;INFORMATION, COMMUNICATION, PUBLICITE
2012;F;1;6188;24;32731;FETES ET CEREMONIES
2012;F;1;6188;25;20000;AIDES AUX ASSOCIATIONS (NON CLASSEES AILLEURS)
2012;F;1;6188;26;2500;CIMETIERES ET POMPES FUNEBRES
2012;F;1;6188;48;14000;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
2012;F;1;6188;211;5700;ECOLES MATERNELLES
2012;F;1;6188;212;16074;ECOLES PRIMAIRES
2012;F;1;6188;30;220000;SERVICES COMMUNS
2012;F;1;6188;40;41000;SERVICES COMMUNS
2012;F;1;6188;415;78400;MANIFESTATIONS SPORTIVES
2012;F;1;6188;422;50930;AUTRES ACTIVITES POUR LES JEUNES
2012;F;1;6188;520;262750;SERVICES COMMUNS
2012;F;1;6188;64;5000;CRECHES ET GARDERIES
2012;F;1;6188;814;150000;ECLAIRAGE PUBLIC
2012;F;1;6188;821;25000;EQUIPEMENTS DE VOIRIE
2012;F;1;6188;822;1000;VOIRIE COMMUNALE ET ROUTES
2012;F;1;6188;823;43000;ESPACES VERTS URBAINS
2012;F;1;6188;824;3000;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
2012;F;1;6188;90;327950;INTERVENTIONS ECONOMIQUES
2012;F;1;6218;20;33213;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2012;F;1;6218;30;6000;SERVICES COMMUNS
2012;F;1;6218;313;15000;THEATRES
2012;F;1;6218;323;3000;ARCHIVES
2012;F;1;6218;422;61000;AUTRES ACTIVITES POUR LES JEUNES
2012;F;1;6225;20;20000;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2012;F;1;6226;20;56386;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2012;F;1;6226;48;6000;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
2012;F;1;6226;12;7500;HYGIENE ET SALUBRITE PUBLIQUE
2012;F;1;6226;251;10300;HEBERGEMENT ET RESTAURATION SCOLAIRE
2012;F;1;6226;520;88590;SERVICES COMMUNS
2012;F;1;6226;820;32180,44;SERVICES COMMUNS
2012;F;1;6226;822;10000;VOIRIE COMMUNALE ET ROUTES
2012;F;1;6226;823;32000;ESPACES VERTS URBAINS
2012;F;1;6226;824;8000;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
2012;F;1;6226;91;500;FOIRES ET MARCHES
2012;F;1;6227;20;326850;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2012;F;1;6227;48;392;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
2012;F;1;6227;212;1862;ECOLES PRIMAIRES
2012;F;1;6227;422;500;AUTRES ACTIVITES POUR LES JEUNES
2012;F;1;6227;820;35684,94;SERVICES COMMUNS
2012;F;1;6227;91;1500;FOIRES ET MARCHES
2012;F;1;6228;422;3678;AUTRES ACTIVITES POUR LES JEUNES
2012;F;1;6228;64;10000;CRECHES ET GARDERIES
2012;F;1;6228;816;4000;AUTRES RESEAUX ET SERVICES DIVERS
2012;F;1;6228;823;16000;ESPACES VERTS URBAINS
2012;F;1;6231;20;335544;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2012;F;1;6231;23;3000;INFORMATION, COMMUNICATION, PUBLICITE
