CODE;DESIGNATION;CODE CATEG;CATEGORIE;CODE CAT ERP;CATEGORIE ERP;CODE TYPE ERP;TYPE ERP;CODE ACCESS;NUM VOIRIE;RUE;ADR2;ADR3;PROPRIO;CDRUE;LIB ACCESS;GROUPE ERP
952;ECOLE ELEMENTAIRE LEO MALET  (COTE COUR);SCOE;SCOLAIRE ELEMENTAIRE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;6;5;ALLEE PIERRE CARABASSE;NULL;NULL;VILLE;2566;lourde;ENSEIGNEMENT
1693;ENSEMBLE MAISON POUR TOUS ALBERT CAMUS;DIVERS;MULTI - AFFECTATION;IV;4ème catégorie (effectif <= 300);W;Administrations, banques, bureaux;6;118;ALLEE MAURICE BONAFOS;NULL;NULL;VILLE;2480;lourde;TOUT PUBLIC
819;GYMNASE HENRI FERRARI;EQUSP;EQUIPEMENT SPORTIFS;IV;4ème catégorie (effectif <= 300);X;Etablissements sportifs couverts;6;419;AV DOCTEUR J. FOURCADE;NULL;NULL;VILLE;2199;lourde;SPORTS
847;CRECHE THERESE SENTIS - AVENUE DU MARECHAL LECLERC;CRECHE;CRECHE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;5;655;AV DU MARECHAL LECLERC;NULL;NULL;VILLE;1446;simple;PETITE ENFANCE
42559;CLUB AGE D'OR CCAS JACQUELINE BEGUIN;CCAS AO;CCAS CLUBS AGE D OR;V;5ème catégorie;J;Struct. accueil pers. âgées, handicapées;5;630;AV DU MARECHAL LECLERC;NULL;NULL;NULL;1446;simple;NULL
1240;ECOLE MATERNELLE PABLO PICASSO;SCOM;SCOLAIRE MATERNELLE;V;5ème catégorie;R;Etab. d'enseignement sans hébergement;6;41;AV GUILHEM DE POITIERS;NULL;NULL;VILLE;1190;lourde;ENSEIGNEMENT
1359;ENSEMBLE MAISON POUR TOUS ALBERT DUBOUT;DIVERS;MULTI - AFFECTATION;V;5ème catégorie;W;Administrations, banques, bureaux;6;1071;AV JUSTICE DE CASTELNAU;NULL;NULL;VILLE;1337;lourde;TOUT PUBLIC
1700;ENSEMBLE MAISON POUR TOUS PAUL EMILE VICTOR;DIVERS;MULTI - AFFECTATION;II;2ème catégorie (700 < effectif <= 1500);L;Salles usage auditions, conférences, ...;5;1247;AV PROFESSEUR LOUIS RAVAZ;NULL;NULL;VILLE;1817;simple;TOUT PUBLIC
1708;MAISON DE QUARTIER JEAN-PIERRE CHABROL;MPT;MAISON POUR TOUS;V;5ème catégorie;L;Salles usage auditions, conférences, ...;6;949;AV PROFESSEUR LOUIS RAVAZ;NULL;NULL;VILLE;1817;lourde;ASSOCIATIF
41461;MAISON POUR TOUS GEORGES SAND;MPT;MAISON POUR TOUS;V;5ème catégorie;P;Salles de danse et salles de jeux;6;25;AVENUE SAINT ANDRE DE NOVIGENS;NULL;NULL;VILLE;1921;lourde;ASSOCIATIF
897;ECOLE ELEMENTAIRE BERTHE MORISOT;SCOE;SCOLAIRE ELEMENTAIRE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;6;60;AVENUE D'ASSAS;NULL;NULL;VILLE;511;lourde;ENSEIGNEMENT
900;ECOLE MATERNELLE MOZART;SCOM;SCOLAIRE MATERNELLE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;6;60;AVENUE D'ASSAS;NULL;NULL;VILLE;511;lourde;ENSEIGNEMENT
39750;COLLEGE CAMILLE CLAUDEL + ECOLE PRIMAIRE;SCO;SCOLAIRE;II;2ème catégorie (700 < effectif <= 1500);R;Etab. d'enseignement sans hébergement;6;5;AVENUE D'ASSAS;NULL;NULL;NULL;511;lourde;ENSEIGNEMENT
911;ECOLE ELEMENTAIRE SIMON BOLIVARD;SCOE;SCOLAIRE ELEMENTAIRE;III;3ème catégorie (300 < effectif <= 700);R;Etab. d'enseignement sans hébergement;6;300;AVENUE DE BARCELONE;NULL;NULL;VILLE;543;lourde;ENSEIGNEMENT
1735;CRECHE LA PETITE SIRENE - MALBOSC;CRECHE;CRECHE;V;5ème catégorie;R;Etab. d'enseignement sans hébergement;8;115;AVENUE DE FES;NULL;NULL;VILLE;3260;conforme;PETITE ENFANCE
40832;HALLES DES 4 SAISONS;LOCCOM;LOCAUX COMMERCIAUX;II;2ème catégorie (700 < effectif <= 1500);M;Magasins, centres commerciaux;5;1321;AVENUE DE HEIDELBERG;NULL;NULL;VILLE;1208;simple;TOUT PUBLIC
39558;LYCEE PROFESSIONNEL E.R.E.A.;SCO;SCOLAIRE;V;5ème catégorie;R;Etab. d'enseignement sans hébergement;8;270;AVENUE DE LA COLLINE;NULL;NULL;NULL;806;conforme;ENSEIGNEMENT
41687;LYCEE JULES FERRY;SCO;SCOLAIRE;II;2ème catégorie (700 < effectif <= 1500);R;Etab. d'enseignement sans hébergement;8;270;AVENUE DE LA COLLINE;NULL;NULL;NULL;806;conforme;ENSEIGNEMENT
39163;UM1 RICHTER BATIMENT B ISEM/MAISON DE L'ETUDIANT;NULL;NULL;I;1ère catégorie (effectif > 1500);R;Etab. d'enseignement sans hébergement;7;0;AVENUE RAYMOND DUGRAND;NULL;NULL;NULL;1519;complexe;NULL
38933;LYCEE GUESDE - BATIMENT ABC;SCO;SCOLAIRE;II;2ème catégorie (700 < effectif <= 1500);R;Etab. d'enseignement sans hébergement;8;110;AVENUE DE LODÈVE;NULL;NULL;NULL;1390;conforme;ENSEIGNEMENT
1191;ECOLE ELEMENTAIRE LOUISVILLE;SCOE;SCOLAIRE ELEMENTAIRE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;5;431;AVENUE DE LOUISVILLE;NULL;NULL;VILLE;1412;simple;ENSEIGNEMENT
42546;MAS D' ALCO;CULT;LOCAUX CULTUELS;V;5ème catégorie;N;Restaurants et débits de boissons;5;1977;AVENUE DES MOULINS;NULL;NULL;CG 34;1568;simple;TOUT PUBLIC
42557;LOCAUX CCAS MAS BEL JUEL;CCAS A;CCAS AUTRES LOCAUX;V;5ème catégorie;L;Salles usage auditions, conférences, ...;6;2897;AVENUE DES MOULINS;NULL;NULL;NULL;1568;lourde;NULL
1321;GYMNASE JEAN BOUIN;EQUSP;EQUIPEMENT SPORTIFS;III;3ème catégorie (300 < effectif <= 700);X;Etablissements sportifs couverts;6;70;AVENUE DU BITERROIS;NULL;NULL;VILLE;594;lourde;SPORTS
1038;ECOLE MATERNELLE JACQUES PREVERT;SCOM;SCOLAIRE MATERNELLE;V;5ème catégorie;R;Etab. d'enseignement sans hébergement;6;297;AVENUE DU COMTE DE NICE;NULL;NULL;VILLE;821;lourde;ENSEIGNEMENT
1645;GYMNASE GARRIGUES;EQUSP;EQUIPEMENT SPORTIFS;III;3ème catégorie (300 < effectif <= 700);R;Etab. d'enseignement sans hébergement;6;145;AVENUE DU COMTE DE NICE;NULL;NULL;VILLE;821;lourde;SPORTS
42550;GYMNASE LES GARRIGUES;EQUSP;EQUIPEMENT SPORTIFS;III;3ème catégorie (300 < effectif <= 700);X;Etablissements sportifs couverts;5;145;AVENUE DU COMTE DE NICE;NULL;NULL;NULL;821;simple;SPORTS
874;ECOLE ELEMENTAIRE CHARLES DICKENS;SCOE;SCOLAIRE ELEMENTAIRE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;6;686;AVENUE DU PONT TRINQUAT;NULL;NULL;VILLE;1784;lourde;ENSEIGNEMENT
877;ECOLE MATERNELLE ANNE FRANK;SCOM;SCOLAIRE MATERNELLE;V;5ème catégorie;R;Etab. d'enseignement sans hébergement;6;686;AVENUE DU PONT TRINQUAT;NULL;NULL;VILLE;1784;lourde;ENSEIGNEMENT
39358;COLLEGE DES AIGUERELLES;SCO;SCOLAIRE;II;2ème catégorie (700 < effectif <= 1500);R;Etab. d'enseignement sans hébergement;5;686;AVENUE DU PONT TRINQUAT;NULL;NULL;NULL;1784;simple;ENSEIGNEMENT
39747;COLLEGE DU JEU DE MAIL;SCO;SCOLAIRE;III;3ème catégorie (300 < effectif <= 700);R;Etab. d'enseignement sans hébergement;5;3;AVENUE EMILE BERTIN-SANS;NULL;NULL;NULL;957;simple;ENSEIGNEMENT
41686;LYCEE CLEMENCEAU;SCO;SCOLAIRE;I;1ère catégorie (effectif > 1500);R;Etab. d'enseignement sans hébergement;7;31;AVENUE GEORGES CLEMENCEAU;NULL;NULL;NULL;1143;complexe;ENSEIGNEMENT
41811;CRECHE JOSEPHINE BAKER;CRECHE;CRECHE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;8;164;AVENUE JEAN PRAT;NULL;NULL;VILLE;3430;conforme;PETITE ENFANCE
1567;BOULODROME BERNARD GASSET;EQUSP;EQUIPEMENT SPORTIFS;II;2ème catégorie (700 < effectif <= 1500);X;Etablissements sportifs couverts;6;122;AVENUE MAURICE PLANES;NULL;NULL;VILLE;1512;lourde;SPORTS
1500;SALLE AVICENNE (BEA);CULT;LOCAUX CULTUELS;I;1ère catégorie (effectif > 1500);V;Etablissements de culte;5;272;AVENUE PAUL BRINGUIER;NULL;NULL;VILLE;1666;simple;TOUT PUBLIC
1144;ECOLE MATERNELLE RUDYARD KIPLING;SCOM;SCOLAIRE MATERNELLE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;6;311;AVENUE SAINT CLEMENT;NULL;NULL;VILLE;1926;lourde;ENSEIGNEMENT
1146;ECOLE ELEMENTAIRE CHARLES BAUDELAIRE;SCOE;SCOLAIRE ELEMENTAIRE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;6;311;AVENUE SAINT CLEMENT;NULL;NULL;VILLE;1926;lourde;ENSEIGNEMENT
893;ECOLES MATERNELLE ARISTOTE - ELEMENTAIRE PERICLES;SCO;SCOLAIRE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;5;528;BOULEVARD D'ANTIGONE;NULL;NULL;VILLE;2229;simple;ENSEIGNEMENT
40835;HALLES JACQUES COEUR BATIMENT FERME;LOCCOM;LOCAUX COMMERCIAUX;II;2ème catégorie (700 < effectif <= 1500);M;Magasins, centres commerciaux;5;515;BOULEVARD D'ANTIGONE;NULL;NULL;VILLE;2229;simple;TOUT PUBLIC
41144;PARKING DU NOMBRE D'OR  (DSP);PARKPUB;PARKING PUBLIC;IV;4ème catégorie (effectif <= 300);PS;Parc de stationnement;6;589;BOULEVARD D'ANTIGONE;NULL;NULL;VILLE;2229;lourde;STATIONNEMENT
957;ECOLE MATERNELLE CHAPTAL - ECOLE ELEMENTAIRE JEANNE D'ARC;SCO;SCOLAIRE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;7;9;BOULEVARD DES ARCEAUX;NULL;NULL;VILLE;497;complexe;ENSEIGNEMENT
960;MATERNELLE CHAPTAL;SCOM;SCOLAIRE MATERNELLE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;7;9;BOULEVARD DES ARCEAUX;NULL;NULL;NULL;497;complexe;ENSEIGNEMENT
1056;ECOLE MATERNELLE INGRID BERGMAN;SCOM;SCOLAIRE MATERNELLE;V;5ème catégorie;R;Etab. d'enseignement sans hébergement;6;20;BOULEVARD MOUNIE;NULL;NULL;VILLE;1570;lourde;ENSEIGNEMENT
1061;ECOLE ELEMENTAIRE JEAN MOULIN;SCOE;SCOLAIRE ELEMENTAIRE;III;3ème catégorie (300 < effectif <= 700);R;Etab. d'enseignement sans hébergement;6;20;BOULEVARD MOUNIE;NULL;NULL;VILLE;1570;lourde;ENSEIGNEMENT
39510;COLLEGE CLEMENCE ROYER;SCO;SCOLAIRE;III;3ème catégorie (300 < effectif <= 700);R;Etab. d'enseignement sans hébergement;5;17;BOULEVARD PASTEUR;NULL;NULL;NULL;1660;simple;ENSEIGNEMENT
1108;ECOLES ROBERT SURCOUF - GEORGES SIMENON;SCO;SCOLAIRE;III;3ème catégorie (300 < effectif <= 700);R;Etab. d'enseignement sans hébergement;6;215;BOULEVARD PEDRO DE LUNA;NULL;NULL;VILLE;1686;lourde;ENSEIGNEMENT
785;CENTRE CULTUREL RABELAIS;CULTURE;EQUIPEMENT CULTUREL;III;3ème catégorie (300 < effectif <= 700);L;Salles usage auditions, conférences, ...;5;27;BOULEVARD SARRAIL;NULL;NULL;VILLE;1990;simple;TOUT PUBLIC
41772;POSTE DE POLICE MUNICIPALE DE L'HOTEL DE VILLE - RESIDENCE ACM 789 CHEMIN DE MOULARES;POL;POSTE DE POLICE MUNICIPAL;V;5ème catégorie;W;Administrations, banques, bureaux;5;789;CHEMIN DE MOULARES;NULL;NULL;ACM;1560;simple;ADMINISTRATION
1587;MATERNELLE GENEVIEVE DE GAULLE ANTHONIOZ;SCOM;SCOLAIRE MATERNELLE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;6;10;CHEMIN DES BARQUES;NULL;NULL;VILLE;547;lourde;ENSEIGNEMENT
1588;ELEMENTAIRE JEAN JAURES;SCOE;SCOLAIRE ELEMENTAIRE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;6;12;CHEMIN DES BARQUES;NULL;NULL;VILLE;547;lourde;ENSEIGNEMENT
41143;PARKING GAMBETTA (DSP);PARKPUB;PARKING PUBLIC;IV;4ème catégorie (effectif <= 300);PS;Parc de stationnement;6;69;BOULEVARD GAMBETTA;NULL;NULL;VILLE;1108;lourde;STATIONNEMENT
1680;HOTEL DE SULLY MAISON DES RELATIONS INTERNATIONALES;DIVERS;MULTI - AFFECTATION;V;5ème catégorie;W;Administrations, banques, bureaux;6;14;DESCENTE EN BARRAT;NULL;NULL;VILLE;964;lourde;TOUT PUBLIC
1767;PARKING PITOT (DSP);PARKPUB;PARKING PUBLIC;V;5ème catégorie;PA;Etablissements de plein air;6;7;IMPASSE CARRE DU ROI;NULL;NULL;VILLE;694;lourde;STATIONNEMENT
977;ECOLE ELEMENTAIRE JACQUES BREL BATIMENT 1;SCOE;SCOLAIRE ELEMENTAIRE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;6;5;IMPASSE DES MARMOUSETS;NULL;NULL;VILLE;1458;lourde;ENSEIGNEMENT
983;ECOLE MATERNELLE SIMONE SIGNORET;SCOM;SCOLAIRE MATERNELLE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;5;1;IMPASSE DES MARMOUSETS;NULL;NULL;VILLE;1458;simple;ENSEIGNEMENT
41150;PARKING FOCH (MARCHE AUX FLEURS);PARKPUB;PARKING PUBLIC;IV;4ème catégorie (effectif <= 300);PS;Parc de stationnement;6;1;PLACE MARTYRS RESISTANCE;NULL;NULL;VILLE;1472;lourde;STATIONNEMENT
1804;CCAS CLUB AGE D'OR LUIS MARIANO - PARC DE LA GUIRLANDE (EX LUDOTHEQUE);CCAS AO;CCAS CLUBS AGE D OR;V;5ème catégorie;L;Salles usage auditions, conférences, ...;5;2;PLACE AGRIPPA D AUBIGNE;NULL;NULL;VILLE;428;simple;NULL
1998;CHAPELLE SAINT CHARLES - MAISON DES CHOEURS;CULTURE;EQUIPEMENT CULTUREL;IV;4ème catégorie (effectif <= 300);L;Salles usage auditions, conférences, ...;6;1;PLACE ALBERT 1ER;NULL;NULL;VILLE;442;lourde;TOUT PUBLIC
40833;HALLES LAISSAC;LOCCOM;LOCAUX COMMERCIAUX;III;3ème catégorie (300 < effectif <= 700);M;Magasins, centres commerciaux;6;10;PLACE ALEXANDRE LAISSAC;NULL;NULL;VILLE;450;lourde;TOUT PUBLIC
41147;PARKING LAISSAC;PARKPUB;PARKING PUBLIC;IV;4ème catégorie (effectif <= 300);PS;Parc de stationnement;7;10;PLACE ALEXANDRE LAISSAC;NULL;NULL;VILLE;450;complexe;STATIONNEMENT
40831;HALLES CASTELLANE;LOCCOM;LOCAUX COMMERCIAUX;II;2ème catégorie (700 < effectif <= 1500);M;Magasins, centres commerciaux;5;1;PLACE CASTELLANE;NULL;NULL;VILLE;699;simple;TOUT PUBLIC
1218;ECOLE ELEMENTAIRE GARIBALDI;SCOE;SCOLAIRE ELEMENTAIRE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;6;2;PLACE DE FONTJUN;NULL;NULL;VILLE;1062;lourde;ENSEIGNEMENT
1221;ECOLE MATERNELLE BERTIE ALBRECHT;SCOM;SCOLAIRE MATERNELLE;V;5ème catégorie;N;Restaurants et débits de boissons;6;1;PLACE DE FONTJUN;NULL;NULL;VILLE;1062;lourde;ENSEIGNEMENT
1695;MAISON DE QUARTIER JEAN-PIERRE CAILLENS;MPT;MAISON POUR TOUS;IV;4ème catégorie (effectif <= 300);L;Salles usage auditions, conférences, ...;6;7;PLACE DE TIBERIADE;NULL;NULL;VILLE;2189;lourde;ASSOCIATIF
41142;PARKING EUROPA;PARKPUB;PARKING PUBLIC;IV;4ème catégorie (effectif <= 300);PS;Parc de stationnement;5;175;PLACE DIONYSOS;NULL;NULL;VILLE;2483;simple;STATIONNEMENT
1492;ENSEMBLE MAISON POUR TOUS GEORGES BRASSENS;DIVERS;MULTI - AFFECTATION;II;2ème catégorie (700 < effectif <= 1500);L;Salles usage auditions, conférences, ...;5;45;PLACE JACQUE BREL;NULL;NULL;VILLE;3056;simple;TOUT PUBLIC
1376;EGLISE NOTRE DAME DES TABLES;CULT;LOCAUX CULTUELS;III;3ème catégorie (300 < effectif <= 700);V;Etablissements de culte;6;3;PLACE NOTRE DAME;NULL;NULL;VILLE;1605;lourde;TOUT PUBLIC
1392;EGLISE SAINT DENIS;CULT;LOCAUX CULTUELS;V;5ème catégorie;V;Etablissements de culte;5;1;PLACE SAINT DENIS;NULL;NULL;VILLE;1933;simple;TOUT PUBLIC
1396;EGLISE SAINT ROCH;CULT;LOCAUX CULTUELS;V;5ème catégorie;V;Etablissements de culte;6;1;PLACE SAINT ROCH;NULL;NULL;VILLE;1963;lourde;TOUT PUBLIC
1486;HALTE GARDERIE LA COUPOLE - IMMEUBLE LA COUPOLE PAVILLON ZEUS (COPROPRIETE);HALTG;HALTE GARDERIE;V;5ème catégorie;R;Etab. d'enseignement sans hébergement;6;45;PLACE ZEUS;NULL;NULL;VILLE;3246;lourde;PETITE ENFANCE
1083;ECOLE MATERNELLE LA FONTAINE;SCOM;SCOLAIRE MATERNELLE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;6;27;QUAI DU VERDANSON;NULL;NULL;VILLE;2108;lourde;ENSEIGNEMENT
1294;ECOLES MATERNELLE HELENE BOUCHER ET ELEMENTAIRE ALAIN SAVARY  (BATIMENT PRINCIPAL);SCO;SCOLAIRE;III;3ème catégorie (300 < effectif <= 700);R;Etab. d'enseignement sans hébergement;6;240;QUAI FLORA TRISTAN;NULL;NULL;VILLE;2220;lourde;ENSEIGNEMENT
1298;ECOLE ELEMENTAIRE JULES FERRY;SCOE;SCOLAIRE ELEMENTAIRE;III;3ème catégorie (300 < effectif <= 700);R;Etab. d'enseignement sans hébergement;5;88;R ANTOINE-LAURENT JUSSIEU;NULL;NULL;VILLE;2342;simple;ENSEIGNEMENT
1300;ECOLE MATERNELLE TERESA;SCOM;SCOLAIRE MATERNELLE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;5;30;R ANTOINE-LAURENT JUSSIEU;NULL;NULL;VILLE;2342;simple;ENSEIGNEMENT
1691;ENSEMBLE MAISON POUR TOUS MARCEL PAGNOL;DIVERS;MULTI - AFFECTATION;III;3ème catégorie (300 < effectif <= 700);L;Salles usage auditions, conférences, ...;6;64;ROUTE DE LAVERUNE;NULL;NULL;VILLE;1363;lourde;TOUT PUBLIC
41613;LYCEE FREDERIC BAZILLE - BATIMENT C INTERNAT;SCO;SCOLAIRE;III;3ème catégorie (300 < effectif <= 700);R;Etab. d'enseignement sans hébergement;7;3224;ROUTE DE MENDE;NULL;NULL;NULL;1518;complexe;ENSEIGNEMENT
1571;ECOLE PRIMAIRE LA LIRONDE;SCO;SCOLAIRE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;6;380;ROUTE DE VAUGUIERES;NULL;NULL;VILLE;2103;lourde;ENSEIGNEMENT
1640;GYMNASE LE HETET-COMPLEXE LEON CAZAL;EQUSP;EQUIPEMENT SPORTIFS;III;3ème catégorie (300 < effectif <= 700);X;Etablissements sportifs couverts;6;237;ROUTE DE VAUGUIERES;NULL;NULL;VILLE;2103;lourde;SPORTS
1697;MAIRIE DE PROXIMITE AUBES POMPIGNANE;MAIR;MAIRIE ANNEXE;V;5ème catégorie;R;Etab. d'enseignement sans hébergement;6;35;RUE ANDRE MALRAUX;NULL;NULL;VILLE;482;lourde;NULL
42070;EHPAD FRANCOISE GAUFFIER;CCAS A;CCAS AUTRES LOCAUX;IV;4ème catégorie (effectif <= 300);J;Struct. accueil pers. âgées, handicapées;5;135;RUE ANDRE PUIG-AUBERT;NULL;NULL;NULL;3436;simple;NULL
88;STADE PHILIPPIDES;EQUSP;EQUIPEMENT SPORTIFS;I;1ère catégorie (effectif > 1500);PA;Etablissements de plein air;6;542;RUE AUGUSTE BROUSSONNET;NULL;NULL;UNIVERSITE MONTPELLIER 1;519;lourde;SPORTS
1277;ECOLE ELEMENTAIRE SEVIGNE;SCOE;SCOLAIRE ELEMENTAIRE;V;5ème catégorie;R;Etab. d'enseignement sans hébergement;6;5;RUE BERNARD DE TREVIERS;NULL;NULL;VILLE;584;lourde;ENSEIGNEMENT
1319;GYMNASE BERNARD JOUANIQUE;EQUSP;EQUIPEMENT SPORTIFS;III;3ème catégorie (300 < effectif <= 700);X;Etablissements sportifs couverts;6;32;RUE CALVIN;NULL;NULL;ENSAM;2197;lourde;SPORTS
1188;ECOLE MATERNELLE MARTIN LUTHER KING;SCOM;SCOLAIRE MATERNELLE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;5;65;RUE CHARLES BONAPARTE;NULL;NULL;VILLE;740;simple;ENSEIGNEMENT
1333;ECOLE ELEMENTAIRE DANTE ALIGHIERI;SCOE;SCOLAIRE ELEMENTAIRE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;5;759;RUE CROIX DE FIGUEROLLES;NULL;NULL;VILLE;864;simple;ENSEIGNEMENT
1338;ECOLE MATERNELLE MARIA CALLAS;SCOM;SCOLAIRE MATERNELLE;III;3ème catégorie (300 < effectif <= 700);R;Etab. d'enseignement sans hébergement;6;843;RUE CROIX DE FIGUEROLLES;NULL;NULL;VILLE;864;lourde;ENSEIGNEMENT
38930;COLLEGE LAS CAZES;SCO;SCOLAIRE;II;2ème catégorie (700 < effectif <= 1500);R;Etab. d'enseignement sans hébergement;6;420;RUE CROIX DE LAS CAZES;NULL;NULL;NULL;861;lourde;ENSEIGNEMENT
42551;GYMNASE LAS CAZES (LA CONDAMINE);EQUSP;EQUIPEMENT SPORTIFS;III;3ème catégorie (300 < effectif <= 700);X;Etablissements sportifs couverts;5;125;RUE CROIX DE LAS CAZES;NULL;NULL;NULL;861;simple;SPORTS
1227;ECOLE MATERNELLE VINCENT VAN GOGH;SCOM;SCOLAIRE MATERNELLE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;6;242;RUE D'OXFORD;NULL;NULL;VILLE;1633;lourde;ENSEIGNEMENT
928;ECOLE MATERNELLE VIRGINIA WOOLF;SCOM;SCOLAIRE MATERNELLE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;6;255;RUE DE BARI;NULL;NULL;VILLE;545;lourde;ENSEIGNEMENT
1768;MAISON DE LA JUSTICE ET DU DROIT - RESIDENCE ACM URANUS 66 RUE DE BARI;ADM;LOCAUX ADMINISTRATIFS;V;5ème catégorie;W;Administrations, banques, bureaux;6;66;RUE DE BARI;NULL;NULL;ACM;545;lourde;ADMINISTRATION
931;ECOLE MATERNELLE JAMES JOYCE;SCOM;SCOLAIRE MATERNELLE;III;3ème catégorie (300 < effectif <= 700);R;Etab. d'enseignement sans hébergement;5;122;RUE DE BOLOGNE;NULL;NULL;VILLE;603;simple;ENSEIGNEMENT
